item_id,qtype,tier,gold_source,gold_best_answer,teacher_agree_3t,teacher_consensus,wolfram_answer,wolfram_confidence,search_answer,search_gold,indep_source,indep_vs_teacher,gold_conflict_flag,n_ans_slots,question_preview
0,free_single,T1,search_GOLD,"4, 16",3,"4,16",,,"4, 16",True,search_GOLD,agree,False,2,Use the order of operations to simplify: a) $[13-(11-11)]-[8-(5-6)]=$ [ANS] b) $
1,MCQ,T2,teacher_3of3,A,3,A,,,Unchanged,True,search_GOLD,review,False,0,"Assuming the weights corresponding to the sign values are reduced by 1/10, then "
2,free_single,T2,search_GOLD,"-1.46, 1.645, A",2,"-1.46,1.645,A",,,"-1.46, 1.645, A",True,search_GOLD,agree,False,3,"According to a recent marketing campaign, $120$ drinkers of either Diet Coke or "
3,MCQ,T1,teacher_3of3,B,3,B,,,B,True,search_GOLD,agree,False,0,"It is known that there are two types of fish in the pond, in a ratio of 7:3. If "
4,free_single,T2,search_GOLD,"-7\sqrt{149}/149, 10\sqrt{149}/149, -7/10",2,"-\frac{7}{\sqrt{149}},\frac{10}{\sqrt{149}},-\frac{7}{10}",,,"-7\sqrt{149}/149, 10\sqrt{149}/149, -7/10",True,search_GOLD,agree,False,3,"If the point (10,-7) is on the terminal side of the angle $\theta$ in standard p"
5,free_single,T3,wolfram_HIGH,"541.3, 63.25, 135.325, 4.2167, 32.09",1,,"541.3, 63.25, 135.325, 4.2167, 32.09",HIGH,"541.30, 63.25, 135.325, 4.2167, 32.09",True,wolfram_HIGH,,False,5,An experiment is conducted to determine whether there is a differnce among the m
6,free_single,T2,search_GOLD,148.02,2,148.02,,,148.02,True,search_GOLD,agree,False,1,"A person is standing straight on the ground, looking up at an airplane which is "
7,free_single,T4,none,,1,,,,,False,,,False,0,"The circumference of a circle is divided into $45$ arcs, each of length $1$. Ini"
8,free_single,T2,search_GOLD,420,2,420 mL,,,420,True,search_GOLD,agree,False,1,What quantity of 70 per cent acid solution must be mixed with a 25 solution to p
9,free_single,T3,wolfram_HIGH,"L-8x, 6F",1,,"L-8x, 6F",HIGH,,False,wolfram_HIGH,,False,2,Solve the equation for $y$: 8x+6 y F=L $\begin{array}{cccc}\hline &  y=& & [ANS]
10,MCQ,T3,teacher_2of3,E,2,E,,,2*pi*rho/(rho^2-|a|^2) or 2*pi*rho/(|a|^2-rho^2),True,search_GOLD,review,False,0,What is the value of the integral $\int_{\mid z \mid=\rho} \frac{\mid\mathrm{d} 
11,free_single,T3,search_GOLD,s_y\sqrt{(n-1)(1-r_{xy}^2)/(n-2)},1,,0.939,CONSENSUS-ONLY,s_y\sqrt{(n-1)(1-r_{xy}^2)/(n-2)},True,search_GOLD,,False,1,"Consider simple linear regression with $n$ pairs of numbers $x_i,y_i$. Let ${\ha"
12,free_single,T2,wolfram_HIGH,"2c + 4p = 70, 11",2,"2c+4p=70,11","2c + 4p = 70, 11",HIGH,"2c+4p=70, 11",True,wolfram_HIGH,agree,False,2,"A barnyard is full of chickens and pigs, and the total number of chicken feet an"
13,MCQ,T1,teacher_3of3,C,3,C,,,C,True,search_GOLD,agree,False,0,Solve the integral: $$ \int \frac{ 6 }{ \cos(-4 \cdot x)^7 \cdot \sin(4 \cdot x)
14,free_single,T3,search_GOLD,\ln(35)/\ln(3),1,,,,\ln(35)/\ln(3),True,search_GOLD,,False,1,Use logarithms to find an EXACT solution to the equation below. $7 \cdot 3^t=245
15,free_single,T1,search_GOLD,"8, NONE",3,"8,NONE",,,"8, NONE",True,search_GOLD,agree,False,2,"Are the functions below polynomials? If they are, enter their degree. If not, en"
16,free_single,T1,search_GOLD,501,3,501,,,501,True,search_GOLD,agree,False,0,Rose and Brunno play the game on a board shaped like a regular 1001-gon. Initial
17,MCQ,T2,teacher_2of3,C,2,C,,,C,True,search_GOLD,agree,False,0,"Let $a_0=1$, $a_1=2$, and $a_n=4a_{n-1}-a_{n-2}$ for $n\geq 2$. Find the least o"
18,MCQ,T1,teacher_3of3,H,3,H,,,H,True,search_GOLD,agree,False,0,Dani has 45 marbles. She has 5 times as many marbles as Joe has. How many marble
19,MCQ,T3,search_GOLD,D,1,,,,D,True,search_GOLD,,False,0,"Consider the sequence defined by $j_0=1$, $j_1=2$, and $j_c=4j_{c-1}-j_{c-2}$ fo"
20,free_single,T3,search_GOLD,"Mean=228, Median=229, Mode=250",2,"228,229,250",,,"Mean=228, Median=229, Mode=250",True,search_GOLD,review,False,3,A sample of prices for eight television sets available at a local electronics st
