# AUDIT-SCORE REFRAME: Audit score is for per-item bucket labels. Not a Kaggle-mirror. Local judger has known 28pp gap; restricted independent-gold subset is systematically easier.
# run_id: TH_targeted_rescue_thinking_sc16_f61
# model: Qwen/Qwen3-4B-Thinking-2507
# method: vllm-sc-nothinking
# n_samples: 16
# max_new_tokens: 24576
# temperature: None
# n_items: 61
# date_run: 2026-05-30
# kaggle_score: None
# input_jsonl_path: inference/base_model/TH_targeted_rescue_thinking_sc16_f61/targeted_rescue_thinking_ADAPTED.jsonl
# is_self_consistency: True
item_id,category,tier,gold_answer,gold_source,gold_independent_flag,gold_uncertain_flag,extracted_answer,extracted_empty_flag,truncated_flag,format_correct,format_check_capability,math_correct,format_failure_subtype,bucket,bucket_b_review_needed,n_tokens_total,n_tokens_thinking,sc_vote_size,sc_total_samples,response_preview,notes
0,FREE,4,"4,16",unanimous_teachers,True,True,"4, 16",False,False,True,cosmetic_only_until_structural,True,,unknown,False,1122,451,16,16,"Okay, let's tackle these two problems one by one using the order of operations. I need to remember PEMDAS: Parentheses first, then Exponents (though there are none here), Multiplication and Division f",
5,FREE,4,"541.3, 63.25, 135.325, 4.2167, 32.09",wolfram_HIGH,True,True,"541.3, 63.25, 135.325, 4.2167, 32.09",False,False,True,cosmetic_only_until_structural,True,,A,False,6551,1638,15,16,"Okay, let's tackle this problem step by step. First, I need to remember what these terms mean in the context of ANOVA (Analysis of Variance). Starting with part (a): SSTR (Sum of Squares Between Treat",
9,FREE,5,"L-8x, 6F",wolfram_HIGH,True,True,"L - 8x, 6F",False,False,True,cosmetic_only_until_structural,True,,A,False,3509,2097,8,16,"Okay, let's see. I need to solve the equation 8x + 6yF = L for y. Wait, hold on, the problem says ""solve the equation for y"". But there are some variables here: x, y, F, L. Hmm, maybe this is a typo o",
12,FREE,3,"2c + 4p = 70, 11",wolfram_HIGH,True,False,11,False,False,False,cosmetic_only_until_structural,False,,A_lucky_sample,False,588,226,14,16,"Okay, let's tackle part (a) first. The problem says there are chickens and pigs, with a total of 70 feet. I need to relate c (chickens) and p (pigs) to the total feet. Chickens have 2 feet each, right",
25,FREE,5,"8/63, 6/63, 11/63, 17/63, 13/63, 8/63",search_GOLD,True,True,"0.127, 0.095, 0.175, 0.270, 0.206, 0.127, 8, 14, 25, 42, 55, 63",False,False,False,cosmetic_only_until_structural,False,,B,True,5997,2413,10,16,"Okay, let's tackle this problem step by step. First, I need to find the relative frequency table and then the cumulative frequency table based on the given frequency table. Starting with part (a): rel",
68,FREE,5,"-2.857, 6.986, -1.082, 3.707, -3.707, A, -12.647, 6.933",wolfram_HIGH,True,True,"-2.857, 6.986, -1.082, 3.143, -3.143, A, -11.15, 5.44",False,False,False,cosmetic_only_until_structural,False,,B,True,9469,3316,4,16,"Okay, let's tackle this problem step by step. First, I need to recall how to handle paired sample tests. The goal is to find the mean and standard deviation of the differences between each pair of x a",
72,FREE,5,"-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV",wolfram_HIGH,True,True,"-0.8352, -0.9187, 0.3950, -2.3258, IV",False,False,False,cosmetic_only_until_structural,False,,B,True,5902,1736,2,16,"Okay, let's tackle this problem step by step. First, we know that sin(A) = 0.55 and cos(A) < 0. We need to find several trigonometric values related to angle A and then 2A. First, let's figure out whi",
77,FREE,5,"C,D,A",sheet_dependent,False,True,"D, D, A",False,False,False,cosmetic_only_until_structural,False,,unknown,False,2228,1621,13,16,"Okay, let's tackle this problem step by step. I need to answer parts (a), (b), and (c) based on the given scenario. Starting with part (a): The question asks what type of experimental design this is.",
82,FREE,0,"\text{No},1.309,1.677,\text{No}",sheet_dependent,False,False,"1.32, 1.68, No",False,False,False,cosmetic_only_until_structural,False,,unknown,False,5589,2120,9,16,"Okay, let's tackle this problem step by step. First, I need to remember what kind of hypothesis test we're doing here. The question is about comparing two independent groups (PM vs AM sections) to see",
134,FREE,5,"1, 5, 12, 20, 26, 30, 31, 27.63",wolfram_HIGH,True,True,27.625,False,False,False,cosmetic_only_until_structural,False,,B,True,3169,1520,13,16,"Okay, let's see. I need to find the median of this grouped data. First, I remember that for grouped data, the median is found using the formula involving the cumulative frequencies. Let me recall how",
192,FREE,5,"1.06, (1.88, infty), 0.1449, A",wolfram_HIGH,True,True,"1.06, (1.88, infty), 0.145, A",False,False,False,cosmetic_only_until_structural,False,,B,True,6639,2445,7,16,"Okay, let's try to figure out this problem step by step. First, I need to recall what the question is asking. We have a hypothesis test about whether the advertising campaign increased the average lon",
