item_id,tier,is_mcq,gold_provenance,adapter_voted_answer,adapter_votes,base_voted_answer,gold_answer,adapter_correct,base_correct,adapter_correct_strict,base_correct_strict,classification
1,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
3,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
10,T4,True,MED,E,2/3,E,E,True,True,True,True,both_correct
13,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
14,T5,False,MED,\frac{\log 35}{\log 3},3/3,\frac{\ln 35}{\ln 3},\frac{\log 35}{\log 3},True,True,True,False,both_correct
15,T2,False,HIGH,"8,NONE",3/3,"8, NONE","8,NONE",True,True,True,True,both_correct
23,T2,True,HIGH,H,3/3,H,H,True,True,True,True,both_correct
31,T2,False,HIGH,"-3,42",3/3,"-3, 42","-3,42",True,True,True,True,both_correct
34,T2,True,HIGH,J,3/3,J,J,True,True,True,True,both_correct
38,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
39,T2,False,HIGH,475,3/3,475,475,True,True,True,True,both_correct
42,T2,False,MED,"No, Yes, A",3/3,"No, Yes, A","No,Yes,A",True,True,True,True,both_correct
47,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
48,T2,False,HIGH,C,3/3,C,C,True,True,True,True,both_correct
52,T2,False,HIGH,"231,385",3/3,"231, 385","231,385",True,True,True,True,both_correct
53,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
56,T2,False,HIGH,"D,D,A",3/3,"D, D, A","D,D,A",True,True,True,True,both_correct
59,T2,False,HIGH,49,3/3,49,49,True,True,True,True,both_correct
60,T2,False,HIGH,"C,A",3/3,"C, A","C,A",True,True,True,True,both_correct
62,T2,False,HIGH,"-15,192,0",3/3,"-15, 192, 0","-15,192,0",True,True,True,True,both_correct
69,T3,True,MED,G,3/3,G,G,True,True,True,True,both_correct
73,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
75,T2,False,HIGH,x > 21250,3/3,x > 21250,x > 21250,True,True,True,True,both_correct
76,T2,False,HIGH,"-4,-11,3,33,-32,9,-14,-13",3/3,"-4, -11, 3, 33, -32, 9, -14, -13","-4,-11,3,33,-32,9,-14,-13",True,True,True,True,both_correct
78,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
79,T2,False,HIGH,\dfrac{25}{7},3/3,\frac{25}{7},\frac{25}{7},True,True,True,True,both_correct
80,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
84,T2,False,HIGH,"-4,5,-11",3/3,"-4, 5, -11","-4,5,-11",True,True,True,True,both_correct
85,T2,True,HIGH,F,3/3,F,F,True,True,True,True,both_correct
86,T2,False,HIGH,16,3/3,16,16,True,True,True,True,both_correct
87,T2,False,HIGH,"OBSERVATION,OBSERVATION,EXPERIMENT",3/3,"OBSERVATION, OBSERVATION, EXPERIMENT","OBSERVATION,OBSERVATION,EXPERIMENT",True,True,True,True,both_correct
88,T3,True,MED,C,3/3,C,C,True,True,True,True,both_correct
89,T4,False,HIGH,\frac{326}{7},3/3,46.57,\frac{326}{7},True,False,True,False,adapter_win
92,T2,True,HIGH,E,3/3,E,E,True,True,True,True,both_correct
94,T2,True,HIGH,C,3/3,C,C,True,True,True,True,both_correct
98,T2,True,HIGH,A,3/3,A,A,True,True,True,True,both_correct
99,T2,False,HIGH,"-6,12,-6",3/3,"-6, 12, -6","-6,12,-6",True,True,True,True,both_correct
101,T2,False,HIGH,"C,C,A,C",3/3,"C, C, A, C","C,C,A,C",True,True,True,True,both_correct
107,T2,True,HIGH,J,3/3,J,J,True,True,True,True,both_correct
109,T2,True,HIGH,B,3/3,B,B,True,True,True,True,both_correct
111,T3,False,HIGH,8x^3,3/3,8x^3,8x^3,True,True,True,True,both_correct
114,T2,True,HIGH,D,3/3,D,D,True,True,True,True,both_correct
118,T1,False,HIGH,\frac{18}{5},3/3,3.600,\frac{18}{5},True,True,True,False,both_correct
119,T2,False,HIGH,"A,C,B,D",3/3,"A, C, B, D","A,C,B,D",True,True,True,True,both_correct
121,T2,False,HIGH,35,3/3,35,35,True,True,True,True,both_correct
123,T2,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
125,T3,True,HIGH,G,3/3,G,G,True,True,True,True,both_correct
126,T2,False,HIGH,138000,3/3,138000,138000,True,True,True,True,both_correct
127,T3,False,HIGH,10.7,3/3,10.70,5*ln(17/2),False,False,False,False,both_wrong
130,T2,False,HIGH,r^{42},3/3,r^{42},r^{42},True,True,True,True,both_correct
132,T2,False,MED,10.8,3/3,10.80,10.8,True,True,True,False,both_correct
140,T2,False,HIGH,2744,3/3,2744,2744,True,True,True,True,both_correct
