id,expected,broken_kind,comp_class,computable,q_preview,current_last_boxed,sympy_result,sympy_confidence,notes
0,2,under_count,unknown,False,Use the order of operations to simplify: a) $[13-(11-11)]-[8-(5-6)]=$ [ANS] b) $4 \cdot 3-2+2 \cdot 3=$ [ANS],16,,,
5,5,under_count,statistics,True,"An experiment is conducted to determine whether there is a differnce among the mean increases in growth produced by five strains (A, B, C, D and E) of growth hormones for plants. The experimental mate",32.09,,,
9,2,under_count,algebra,True,Solve the equation for $y$: 8x+6 y F=L $\begin{array}{cccc}\hline &  y=& & [ANS] [ANS] \\ \hline \end{array}$,\dfrac{L - 8x}{6F},,,
12,2,under_count,algebra,True,"A barnyard is full of chickens and pigs, and the total number of chicken feet and pig feet is $70$. (a) If there are $c$ chickens and $p$ pigs in the barnyard, write an equation relating the number of",11,,,
25,12,under_count,unknown,False,$\begin{array}{cc}\hline Grade on Statistics Exam & Frequency \\ \hline Below 50 & 8 \\ \hline 50-59 & 6 \\ \hline 60-69 & 11 \\ \hline 70-79 & 17 \\ \hline 80-89 & 13 \\ \hline 90-100 & 8 \\ \hline \,"8, 14, 25, 42, 55, 63",,,
68,8,under_count,statistics,True,Suppose you want to test the claim the paired sample data given below come from a population for which the mean difference is $\mu_d=0$. \begin{array}{c|ccccccc} x & 80 & 75 & 62 & 73 & 65 & 76 & 70 \,5.443,,,
72,5,under_count,unknown,False,"If $\sin(A)=0.55$ and $\cos(A) < 0$, determine: $\cos(A)=$ [ANS] $\sin(2A)=$ [ANS] $\cos(2A)=$ [ANS] $\tan(2A)=$ [ANS] The quadrant for $2A$ is [ANS]. Be certain to express all answers to at least fou",IV,,,
77,3,under_count,unknown,False,"A study of human development showed two types of movies to a group of children. Crackers were available in a bowl, and the investigators compared the number of crackers eaten by the children while wat",A,,,
82,4,under_count,unknown,False,"There are several sections of statistics, some in the morning (AM) and some in the afternoon (PM). We want to see if afternoon sections do better. We randomly select 24 students from the AM sections a","1.309, 1.677, \text{No}",,,
134,8,under_count,statistics,True,"Given the following table, compute the median of the grouped data. $\begin{array}{ccc}\hline Class & Frequency & Cumulative Frequency \\ \hline [7,13) & 1 & [ANS] \\ \hline [13,19) & 4 & [ANS] \\ \hli",27.63,,,
192,4,under_count,statistics,True,Past experience indicates that the monthly long-distance telephone bill is normally distributed with a mean of 21.01 dollars and a standard deviation of 4 dollars. After an advertising campaign aimed ,A,,,
232,3,under_count,unknown,False,Estimate the difference by rounding each of the given values to the nearest integer. $40.024-37.045$ $\approx$ [ANS] $-$ [ANS]=[ANS],3,,,
257,3,under_count,statistics,True,"a) For 30 randomly selected Rolling Stones concerts, the mean gross earnings is 2.76 million dollars. Assuming a population standard deviation gross earnings of 0.51 million dollars, obtain a 99\% con",A,,,
310,3,under_count,unknown,False,"(a) Put the expression $5x k+4 k+6-11x$ into the form $b+m x$. [ANS] $+\Big($ [ANS] $\Big) x$. (b) Is the expression $5xy+4x+6-11 y$ linear in the variable $x$? If it is linear, enter the slope. If it",NO,,,
318,2,under_count,unknown,False,"A circle $C$ has center at the origin and radius $8$. Another circle $K$ has a diameter with one end at the origin and the other end at the point $(0,15)$. The circles $C$ and $K$ intersect in two poi",0.5625,,,
338,2,under_count,unknown,False,Determine the symmetries (if any) of the graphs of the given relations. (a) $7 y=3x^2-4$: [ANS] (b) $xy=8$: [ANS],origin,,,
353,4,under_count,algebra,True,"Chicago's average monthly rainfall, $R=f(t)$ inches, is given as a function of the month, $t$, where January is $t=1$, in the table below. $\begin{array}{ccccccccc}\hline t, month & 1 & 2 & 3 & 4 & 5 ","5,7",,,
385,3,under_count,algebra,True,"For each problem, select the best response. (a) In order to take a sample of 1200 people from a population, I first divide the population into men and women, and then take a simple random sample of 50",A,,,
413,4,under_count,statistics,True,"A company that sponsors LSAT prep courses would like to be able to claim that their courses improve scores by at least 3 percentage points. To test this, they take a sample of 8 people, have each take",\text{A},,,
435,3,under_count,statistics,True,Construct the $99$ \% confidence interval estimate of the population proportion $p$ if the sample size is $n=800$ and the number of successes in the sample is $x=393.$ [ANS] $< p <$ [ANS] Which of the,"0.4457, 0.5368",,,
469,10,under_count,statistics,True,"The area, $A=f(s)$ square feet, of a square wooden deck is a function of the side $s$ feet. Stain that costs \$31.50 will cover 200 square feet of wood. (a) Write the formula for $f(s)$. $f(s)=$ [ANS]",19.06,,,
479,4,under_count,statistics,True,"Construct both a $90$ \% and a $95$ \% confidence interval for $\beta_1$. $\hat{\beta}_1=42, \ s=7.3, \ SS_{xx}=59, \ n=21$ $90$ \%: [ANS] $\leq \beta_1 \leq$ [ANS] $95$ \%: [ANS] $\leq \beta_1 \leq$ ","40.01, 43.99",,,
487,2,under_count,statistics,True,"A sample of four 35-year-old males is asked about the average number of hours per week that he exercises, and is also given a blood cholesterol test. The data is recorded in the order pairs given belo",-0.9636,,,
490,4,under_count,unknown,False,"The required cooling capacity, in BTUs, for a room air conditioner is directly proportional to the area of the room being cooled. A room of $280$ square feet requires an air conditioner whose cooling ","23.00, 410.0",,,
494,2,under_count,unknown,False,It’s given that $1 \text{gram}=1000 \text{milligrams}$. Do the following unit conversions. ${0.007 \text{grams}=}$ [ANS] ${\text{milligrams}}$ ${62 \text{milligrams}=}$ [ANS] ${\text{grams}}$,0.06200,,,
495,6,under_count,probability,True,A multinomial experiment with $k=3$ cells and $n=400$ produced the data shown below. $\begin{array}{cccc}\hline \ & Cell 1 & Cell 2 & Cell 3 \\ \hline n_i & 102 & 103 & 195 \\ \hline \end{array}$ If t,B,,,
