id,flags,ans
0009,multi_slot_under_1_of_2,\frac{L-8x}{6F}
0027,multi_slot_over_4_of_2,"\frac13,\frac23,\frac76,\frac{11}{6}"
0044,multi_slot_under_1_of_4,"\text{True,True,True,False}"
0069,mcq_non_letter,"\text{None of the listed options; } \int_0^\pi f(x)\,dx=\frac{\pi^2-2\pi}{2}"
0082,multi_slot_under_3_of_4,"1.32,1.677,\text{No}"
0110,multi_slot_over_3_of_2,"A,3,9"
0143,multi_slot_under_3_of_6,"(0,-8),(0,6),(3,3\sqrt3)"
0160,multi_slot_over_3_of_2,"\frac{22+x}{y},\frac{22+x}{y},\text{Identity Property of Multiplication}"
0193,mcq_non_letter,"A,\ C,\ D"
0233,multi_slot_under_3_of_4,"1.96,-1.96,-5.18"
0310,multi_slot_over_5_of_3,"4k+6,\,5k-11,\,5y+4"
0319,multi_slot_under_1_of_4,"\text{False, True, True, False}"
0338,multi_slot_under_1_of_2,"\text{(a) y-axis, (b) origin and line }y=x"
0342,multi_slot_under_1_of_5,"\text{negative, positive, negative, positive, positive}"
0401,multi_slot_over_7_of_4,"\frac{450}{\pi}^\circ,\,240^\circ,\,\frac{165}{\pi}^\circ,\,-135^\circ"
0427,mcq_non_letter,\text{No listed option}
0443,mcq_non_letter,\text{No listed option; mathematically }Q(8)\equiv 413 \pmod{1000}
0483,mcq_non_letter,\text{None of the listed options}
0493,multi_slot_under_3_of_4,"14.56,\text{B},0.0687<(p_1-p_2)<0.1083"
0516,multi_slot_over_4_of_2,"7,-11,4,0"
0527,multi_slot_under_4_of_5,"8,700,25000,\frac{2000}{7}"
0550,mcq_non_letter,"\text{None of the listed options; } \iiint_E z\,dV=\frac{109}{450}"
0574,mcq_non_letter,\text{C and E}
0587,multi_slot_under_1_of_4,"\text{a: B,C,D,E,F,J,\ b: C,\ c: A,B,\ d: A}"
0595,multi_slot_over_5_of_2,"A,D,E,G,probability"
0601,multi_slot_over_3_of_2,"3s-1,2s+1,(3s-1)(2s+1)"
0607,multi_slot_under_6_of_18,"(0,0,4),(0,0,14),(6,6,20),(-6,-6,0),(-4,-4,10),(-4,-4,-12)"
0622,multi_slot_under_3_of_4,"3.85,2.567,\text{Yes}"
0633,multi_slot_over_3_of_2,"B,D,8"
0641,multi_slot_over_3_of_2,"6.4,46.08,46.08"
0666,multi_slot_over_3_of_2,"76e^{\left(\frac{\ln(419/76)}{4}\right)t},million dollars,42.78"
0696,multi_slot_over_3_of_2,"x+8,-8,-81"
0705,multi_slot_under_1_of_4,"\text{True,False,False,True}"
0708,multi_slot_over_3_of_2,"-\frac{9}{2},\frac{9}{2},-\frac{81}{4}"
0715,multi_slot_over_12_of_4,"5,7,9,13,\frac{17}{2},6,7,9,8,10,11,\frac{17}{2}"
0749,multi_slot_over_14_of_6,"5,5,5,5,5,\text{is},14/9,19/14,24/19,29/24,34/29,\text{is not},9+5n,(-1)^{n+1}(9+5n)"
0750,multi_slot_over_4_of_3,"36.98\%,\ln(0.95),C,E"
0801,mcq_non_letter,\text{A}
0810,mcq_non_letter,\text{None of the above}
0814,multi_slot_under_9_of_10,"5,3.1636,0.6327,0.9293,30,20.4244,0.6808,35,23.5881"
0828,multi_slot_over_3_of_2,"99.63,\mu,110.37"
0858,multi_slot_under_3_of_4,"2.30,1.691,\text{Yes}"
0868,mcq_non_letter,\text{No listed option; correct value is }96
0896,multi_slot_under_1_of_8,"\text{False,True,False,False,True,True,False,True}"
0908,multi_slot_over_3_of_2,"100(0.83)^t,100(0.83)^5,39.390"
