id,subject,type,n_ans_slots,best_answer,teacher_consensus,question
0781,algebra,free_single,1,\frac{\sqrt{15}}{8},sqrt(15)/8,"Simplify the expression ${\sqrt{\frac{3}{8}} \cdot \sqrt{\frac{5}{8}}}$. Use sqrt() for the square root symbol. For example: $\sqrt{2}=$ sqrt(2).
${\sqrt{\frac{3}{8}} \cdot \sqrt{\frac{5}{8}}=}$ [ANS]"
0785,statistics,free_multi,4,"0.000, 1.000, 0.000, 0.000","False,True,False,False","Select True or False, depending on whether the corresponding statement is true or false.
[ANS] 1. The $p$-value is usually 0.05. [ANS] 2. An alternative or research hypothesis is an assertion that holds if the null hypothesis is false. [ANS] 3. A two-tail test is a test in which a null hypothesis can be rejected by an extreme result occurring in only one direction. [ANS] 4. The probability of a Type I error is represented by $\beta$, and is the probability of failing to reject a false null hypothesis."
0790,algebra,free_single,1,INVALID,-20x^2+45x-25=0,Write the equation $-5 (4x-5) (x-1)=0$ in the standard form $a x^2+b x+c=0$. [ANS] $=0.$
0794,statistics,free_multi,2,5,"4.47,4","Your teacher is trying to encourage her students to read more books. For the current 9-weeks period, student in her class read the following (sorted) numbers of books: 2 2 3 3 3 4 4 4 4 4 5 5 5 6 6 6 6 6 7 2 2 3 3 3 4 4 4 4 4 5 5 5 6 6 6 6 6 7 For this data, the mean number of books read is [ANS] and the median number read is [ANS]
Express answers that are not integers to two decimal places."
0801,linear_algebra,MCQ,0,E,G,"Let $V$ and $W$ be complex vector spaces of dimensions $m$ and $n$ respec- tively and $A \subset V$ a subspace of dimension $l$ . Let $\mathbb{P H o m} ( V, W ) \cong\mathbb{P}^{m n-1}$ be the projective space of nonzero linear maps $\phi: V \to W$ mod scalars, and for any integer $k \leq l$ let
$$
\Psi_{k}=\{\phi: V \to W : \, \mathrm{r a n k} ( \phi|_{A} ) \leq k \} \subset\mathbb{P}^{m n-1}.
$$
$\Psi_{k}$ is an irreducible subvariety of $\mathbb{P}^{m n-1}$ . What its dimension?"
0818,algebra,free_multi,2,\dfrac{5a + 6b}{ab},"6b+5a,ab","Write the expression as a single fraction. Simplify your answer.
$\begin{array}{cccc}\hline &  \frac{6}{a}+\frac{5}{b}=& & [ANS] [ANS] \\ \hline \end{array}$"
0830,geometry,free_single,1,9.215,\frac{44\pi}{15},Find the distance along an arc on the surface of the earth that subtends a central angle of 8 minutes (1 minute=1/60 degree). The radius of the earth is 3960 miles. Your answer is [ANS] miles.
0834,algebra,free_multi,3,5,"\frac{\pi}{4},\frac{3\pi}{2},-\frac{19\pi}{6}",Fill in the following equations: $45^\circ=$ [ANS] rad $270^\circ=$ [ANS] rad $-570^\circ=$ [ANS] rad Hint: Everything follows from the fact that 360^\circ=2\pi \hbox{~rad}.
0836,geometry,free_single,0,15,2025,"Let \( f: \mathbb{R} \to \mathbb{R} \) be a continuous function. A chord is defined as a segment of integer length, parallel to the x-axis, whose endpoints lie on the graph of \( f \). It is known that the graph of \( f \) contains exactly \( N \) chords, one of which has length 2025. Find the minimum possible value of \( N \)."
0851,algebra,free_single,1,"B,\ C",B  and  C,"Consider the equation
$y=-\frac{5}{8}x$ Which of the following ordered pairs are solutions to the given equation? There may be more than one correct answer. [ANS] A. \((-32,22)\)  B. \((0,0)\)  C. \((-24,15)\)  D. \((32,-16)\)"
0872,calculus,free_multi,2,INVALID,"infinity,0","Find:
(a) $\lim\limits_{t\to-\infty}\, (t^{2}+5)=$ [ANS]
(Enter the word infinity or-infinity if the limit goes to $\infty$ or $-\infty$.) (b) $\lim\limits_{t\to\infty}\, 4y^{-2}=$ [ANS]
(Enter the word infinity or-infinity if the limit goes to $\infty$ or $-\infty$.)"
0880,trigonometry,free_multi,2,"0.9459, 2.917","\frac{35}{37},\frac{35}{12}","Find $\sin \theta$ and $\tan \theta$ if $\cos \theta=\frac {12}{37}$, assuming that $0\leq\theta < \pi/2$. $\sin \theta=$ [ANS]
$\tan \theta=$ [ANS]"
0887,algebra,MCQ,0,C,I,"Solve the equation
$$
(x_{1} \wedge 0.6) \lor (x_{2} \wedge 0.7) \lor (x_{3} \wedge 0.5) \lor (x_{4} \wedge 0.3) = 0.5.
$$"
0896,algebra,free_multi,8,"0, 1, 0, 0, 1, 1, 0, 1","False,True,False,False,True,True,False,True","Choose True or False for the following questions about the difference between expressions and equations.
$\text{We can evaluate}5x+2=2x+5\text{when}x=1$ [ANS]
$\text{We can evaluate}5x+2\text{when}x=1$ [ANS]
$5x+2=2x+5\text{is an expression.}$ [ANS]
$2x+5\text{is an equation.}$ [ANS]
$5x+2=2x+5\text{is an equation.}$ [ANS]
$\text{We can check whether}x=1\text{is a solution of}5x+2=2x+5.$ [ANS]
$\text{We can check whether}x=1\text{is a solution of}5x+2.$ [ANS]
$5x+2\text{is an expression.}$ [ANS]"
