item_id,override_set,tier,is_mcq,in_training_set,base_answer,adapter_answer,gold_answer,gold_provenance,math_sources,math_source_tier,gold_independent,backsolve_answer,backsolve_conf,backsolve_tier,adapter_correct,base_correct,classification,trace_similarity,circular
89,11_overlay,T4,False,True,46.57,\frac{326}{7},\frac{326}{7},HIGH,anchor|wolfram_only,T1,True,46.57,74.12,3,True,False,adapter_win,0.9963,False
127,11_overlay,T3,False,True,10.70,10.7,5*ln(17/2),HIGH,qwen_voted,T4,True,5\ln\left(\dfrac{17}{2}\right),81.65,2,False,False,both_wrong,0.9848,False
182,11_overlay,T4,True,True,E,E,"P(A)=0.5177,P(B)=0.4914",HIGH,anchor|web_search_only,T1,True,E,77.43,3,False,False,both_wrong,0.991,False
302,11_overlay,T2,True,True,"H, H",H,H,HIGH,teacher_4of4,T2,True,H,99.0,1,True,True,both_correct,0.9978,False
317,11_overlay,T4,True,True,H,D,D,HIGH,qwen_voted,T4,True,H,74.12,3,True,False,adapter_win,0.973,False
389,11_overlay,T3,True,True,F,F,x^2+5x±5,HIGH,qwen_voted,T4,True,F,77.43,3,False,False,both_wrong,0.9835,False
429,11_overlay,T5,False,True,7.05,A,A,MED,qwen_voted,T4,False,7.05,96.23,1,True,False,adapter_win,0.913,True
463,11_overlay,T5,True,True,E,J,J,MED,qwen_voted,T4,False,E,93.03,1,True,False,adapter_win,0.9955,True
762,11_overlay,T5,False,True,110x^2 + 42x,2x(55x+21),2x(55x+21),MED,anchor|wolfram_only,T1,True,110x^2 + 42x,77.43,3,True,False,adapter_win,0.9816,False
776,11_overlay,T5,False,True,17 \frac{1}{2},A,A,MED,qwen_voted,T4,False,17 \frac{1}{2},66.72,3,True,False,adapter_win,0.9474,True
839,11_overlay,T2,True,True,"G, G",G,G,HIGH,teacher_4of4,T2,True,G,99.0,1,True,True,both_correct,0.9934,False
0,50_v5final,T2,,False,,,"4,16",,teacher_4of4,T2,False,16,54.66,4,,,,,False
1,50_v5final,T2,True,True,A,A,A,HIGH,teacher_4of4,T2,True,A,99.0,1,True,True,both_correct,0.9938,False
2,50_v5final,T1,,False,,,"-1.461, 1.645, A",,anchor|wolfram_only,T1,True,"-1.461, 1.645, A",45.33,4,,,,,False
3,50_v5final,T2,True,True,B,B,B,HIGH,teacher_4of4,T2,True,B,99.0,1,True,True,both_correct,0.9926,False
4,50_v5final,T1,,False,,,"-7/sqrt(149), 10/sqrt(149), -7/10",,anchor|wolfram_only,T1,True,"-0.5735, 0.8192, -0.7000",33.41,5,,,,,False
5,50_v5final,T1,,False,,,"541.3, 63.25, 135.325, 4.2167, 32.09",,anchor|wolfram_only,T1,True,32.09,52.57,4,,,,,False
6,50_v5final,T3,,False,,,148.02,,opus|teacher_3of4,T3,False,148.02,77.43,3,,,,,False
9,50_v5final,T1,,False,,,"L-8x, 6F",,anchor|wolfram_only,T1,True,\dfrac{L - 8x}{6F},85.57,2,,,,,False
18,50_v5final,T2,,False,,,H,,teacher_4of4,T2,False,INVALID,45.37,4,,,,,False
20,50_v5final,T2,,False,,,"228, 229, 250",,teacher_4of4,T2,False,229,49.19,4,,,,,False
