id,category,confidence,skip_reason,source_found_answer,source_url,source_type,source_notes
0045,MCQ,47.1,low_confidence,F,https://oeis.org/A005379,OEIS,"A005379 Hofstadter male-female. F(n)=n-M(F(n-1)), M(n)=n-F(M(n-1)). M(64..73)=[40,40,41,42,42,43,43,44,45,45]=option F."
0047,MCQ,88,low_confidence,"1,2,4",https://math.stackexchange.com/questions/2563956/find-all-natural-numbers-n-such-that-2n-divides-3n-1,math.stackexchange,"MSE 2563956 EXACTLY this problem ('find all natural n with 2^n | 3^n-1') states 'the only solutions are n=0,1,2,4'. Option [5]='1,2,4' matches the natural-number (positive) solution set verbatim (page's 0 is the n=0 edge case excluded for 'natural numbers'). Verbatim option match w/ 0-exclusion caveat."
0060,MCQ,70,partial_classification,"C. age of buyers (canonical definition, not page-stated for this item)",https://unstats.un.org/wiki/display/genderstatmanual/Types+of+data+involved+in+gender+statistics,textbook_stats,"Concept MCQ: variable under consideration when comparing mean AGES = the characteristic measured = age of buyers = C. Definition is canonical but the option-selection is application/inference, not a page that states this item answer verbatim. PARTIAL: C indicated, left as inference."
0077,FREE,80,partial_classification,"(a)A block design (b)D crackers eaten (c)A time shown - named study, multi-slot",https://www.gauthmath.com/solution/1811187913609237/,textbook_stats,"Crackers/movies human-development study = FIXED named textbook study (Ref 9-3). gauthmath+montgomeryadvertiser host it with STATED answers: (a) block design (children=blocks); (b) response=number of crackers eaten; (c) lurking=time movie shown. Each part stated verbatim for this exact study, but 3-slot assembly -> PARTIAL not GOLD."
0091,MCQ,68.62,low_confidence,J,https://oeis.org/A061909,OEIS,A061909 Skinny numbers (no carry when n² computed). a(1)=0 offset. a(44..53)=[1012..1102]=option J. Verified by computation.
0117,MCQ,82,partial_classification,"largest z<2021 with z not divisible by 42 nor 46 (=> z=2020, opt[1])",https://kskedlaya.org/putnam-archive/2021s.pdf,putnam_2021_A5,"Putnam 2021 A5 EXACTLY (V=ints 1..2021 coprime to 2021, E(z)=sum e^z div by 2021). Official sols state: E(z) div by 2021 IFF z NOT divisible by 42 nor 46. Item asks largest z<2021 with that property -> 2020 (opt[1]) by a divisibility check. RULE stated on page; final option needs 1-step compute. PARTIAL: opt[1]=2020 strongly indicated, left for downstream confirmation."
0173,MCQ,80,partial_classification,604 (Mock AIME 2 Pre 2005 P4 standard result; opt[2]),https://artofproblemsolving.com/wiki/index.php/Mock_AIME_2_Pre_2005_Problems/Problem_4,mock_aime,"Mock AIME 2 Pre 2005 Problem 4 EXACTLY (S={5^k,0..2004}, 5^2004 has 1401 digits, how many begin with 1). AoPS page IDENTIFIES the problem but the explicit final number did NOT render in fetch (LaTeX stripped). Standard result: 2005-1401=604 powers don't gain a digit (5^0=1 begins with 1) -> opt[2]=604. PARTIAL: source identified, value not legibly stated; left for downstream confirmation."
0200,MCQ,85.4,low_confidence,463,https://artofproblemsolving.com/wiki/index.php/1999_AIME_Problems/Problem_14,AoPS,1999 AIME I Problem 14. Brocard point. m+n=463 confirmed on AoPS and Cheenta.
0223,MCQ,87.33,low_confidence,A,https://oeis.org/A006769,OEIS,"OEIS A006769: EDS for 37a1 y^2+y=x^3-x at (0,0). n=23..32: [-620297,2382785,7869898,7001471,-126742987,-398035821,1687054711,-7911171596,-47301104551,43244638645]. Exact match with option A."
0227,MCQ,72,partial_classification,"A. 9 (df = pairs-1 = 10-1, canonical rule; value is application)",https://online.stat.psu.edu/stat200/book/export/html/186,textbook_stats,"Matched-pairs t-test df = (#pairs)-1, canonical (PSU STAT200 paired means). 10 pairs -> 9 = option A. RULE is stated verbatim but the value 9 is a 1-step application (10-1), not a page stating our answer. PARTIAL: A indicated."
0252,FREE,90,free_unrecognized_form,"C. independent samples, normal populations and approximately equal population standard deviations",https://online.stat.psu.edu/stat200/book/export/html/212,textbook_stats,"One-way ANOVA assumptions = canonical textbook fact stated verbatim on PSU STAT200/STAT500, Emory math117, KSU ch8: (1) independent samples (2) normal populations (3) equal population variances/SDs. Matches option C verbatim. Conceptual fact, identical across multiple authoritative pages -> GOLD (was NOT_FOUND; found in textbook-concept pass)."
