id,batch,override_value,confidence,notes
0005,B2,"541.3, 63.25, 135.325, 4.2167, 32.09",HIGH,ANOVA 5-tuple; under-count
0009,B1,"L-8x, 6F",HIGH,2-slot numerator/denominator split; format risk
0012,B2,"2c + 4p = 70, 11",HIGH,equation+value; string-match risk on equation form
0068,B2,"-2.857, 6.986, -1.082, 3.707, -3.707, A, -12.647, 6.933",HIGH,8-slot paired t-test; slot1 was completely wrong (5.443)
0134,B2,"1, 5, 12, 20, 26, 30, 31, 27.63",HIGH,7 cumulative freqs + median; severe under-count
0192,B2,"1.06, (1.88, infty), 0.1449, A",HIGH,z-test 4-slot; note infty notation
0257,B2,"2.52, 3.00, A",HIGH,CI + MCQ 3-slot
0353,B3,"8, C, 5 and 7, D",HIGH,"table lookup; format risk on '5 and 7' vs '5, 7'"
0385,B3,"A, A, A",HIGH,3-slot sampling design MCQ; all answers A
0413,B3,"0.89, (1.83, infty), 0.2008, A",HIGH,paired t 4-slot; watch LaTeX \text{A} wrap risk
0435,B1,"0.4457, 0.5368, A",HIGH,CI bounds + MCQ; under-count missing letter
0469,B3,"s^2, 0.1575A, 0.1575s^2, C, 81, square feet, 14.175, dollars, 19.0575, dollars",HIGH,10-slot composition; includes units-as-slots
0479,B1,"40.36, 43.64, 40.01, 43.99",HIGH,90%+95% CI 4-slot; model emitted only 95% bounds
0487,B3,"-21.1, -0.9636",HIGH,covariance + correlation 2-slot
0495,B3,"100, 100, 200, 0.255, 5.991, B",HIGH,chi-sq GoF 6-slot
0499,B4,"36.9, 0.3225, 32.25, 2.149",HIGH,exponential growth 4-slot
0519,B4,"426.3, 5090, 98.30",HIGH,population model 3-slot
0548,B1,"1.20x = 144, $120.00",HIGH,equation+value; risk on equation string form
0578,B1,"7.62, 9.00, 95.44",HIGH,CI+confidence 3-slot
0585,B4,"-0.2235, 2.262, -2.262, No",PARTIAL,slot 5 unknown (interpretation phrase)
0587,B4,"B, C, D, E, F, J, C, A, B, B",HIGH,4 sub-parts multi-select; last slot = B (centring effect)
0591,B4,"1.081, 1.683, 1.819, -0.832, 3.162, -0.322, 4.123, 1.326",HIGH,trig identity expansion 8-slot; note negative slot 4
0622,B4,"3.854, 2.567, Yes",PARTIAL,slot 4 unknown (interpretation phrase)
0633,B5,"B, D, 8",HIGH,multi-select + value 3-slot
0638,B5,"0.15, (-infty, -1.75)U(1.75, infty), 0.88, D",HIGH,proportion z-test 4-slot
0657,B5,"172.52, 187.48, 172.87, 187.13, 0, 5.167, -10.33, 10.33",HIGH,difference of means 8-slot
0715,B5,"5, 7, 9, 13, 8.5, 6, 7, 8, 9, 10, 11, 8.5",HIGH,sampling distribution 4-slot (lists as slots); format risk
0721,B5,"D, A, A",HIGH,3-slot CLT/sampling MCQ
0748,B5,"222.51, 186.49, 79.43, 66.57, 50.05, 41.95, 31.01, 25.99, 20.79, 3, 11.345, B",HIGH,chi-sq independence 12-slot
0749,B6,"5, 5, 5, 5, 5, is, 14/9, 19/14, 24/19, 29/24, 34/29, is not, 9+5n, (-1)^(n+1)(5n+9)",PARTIAL,format uncertain; 6 ANS slots but exact slot boundaries unclear
0787,B1,"148,178,452, 41.55, 46.97",MEDIUM,discrete geometric 3-slot; format ambiguity on units
0793,B6,"1.35, (1.49, inf), 0.0895, D",HIGH,t-test 4-slot; note 'inf' not 'infty' in notation
