item_id,qtype,tier_v1,tier_v2,tier_changed,tier_direction,old_teacher_agree,new_teacher_agree,raw_teacher_consensus,norm_teacher_consensus,raw_independent_answer,norm_independent_answer,indep_source,indep_vs_teacher,gold_conflict_flag,gold_best_answer_norm,gold_best_answer_raw,gold_source,n_ans_slots,wolfram_answer,wolfram_confidence,search_answer,search_gold,question_preview
0,free_multi,T1,T2,True,demoted,3,3,"4,16","4,16",,,,,False,"4,16","4,16",teacher_3of3,2,,,,False,Use the order of operations to simplify: a) $[13-(11-11)]-[8-(5-6)]=$ [ANS] b) $
1,MCQ,T2,T2,False,unchanged,3,3,A,A,,,,,False,A,A,teacher_3of3,0,,,,False,"Assuming the weights corresponding to the sign values are reduced by 1/10, then "
2,free_multi,T2,T2,False,unchanged,2,3,"-1.46, 1.645, A","-1.46,1.645,A",,,,,False,"-1.46,1.645,A","-1.46, 1.645, A",teacher_3of3,3,,,,False,"According to a recent marketing campaign, $120$ drinkers of either Diet Coke or "
3,MCQ,T1,T2,True,demoted,3,3,B,B,,,,,False,B,B,teacher_3of3,0,,,,False,"It is known that there are two types of fish in the pond, in a ratio of 7:3. If "
4,free_multi,T2,T2,False,unchanged,2,3,"-\frac{7}{\sqrt{149}},\frac{10}{\sqrt{149}},-\frac{7}{10}","-\frac{7}{\sqrt{149}},\frac{10}{\sqrt{149}},-\frac{7}{10}",,,,,False,"-\frac{7}{\sqrt{149}},\frac{10}{\sqrt{149}},-\frac{7}{10}","-\frac{7}{\sqrt{149}},\frac{10}{\sqrt{149}},-\frac{7}{10}",teacher_3of3,3,,,,False,"If the point (10,-7) is on the terminal side of the angle $\theta$ in standard p"
5,free_multi,T3,T1,True,promoted,1,3,"541.30,\ 63.25,\ 135.325,\ 4.2167,\ 32.09","541.30,\63.25,\135.325,\4.2167,\32.09","541.3, 63.25, 135.325, 4.2167, 32.09","541.3,63.25,135.325,4.2167,32.09",wolfram_HIGH,agree,False,"541.3,63.25,135.325,4.2167,32.09","541.3, 63.25, 135.325, 4.2167, 32.09",wolfram_HIGH,5,"541.3, 63.25, 135.325, 4.2167, 32.09",HIGH,,False,An experiment is conducted to determine whether there is a differnce among the m
6,free_single,T2,T2,False,unchanged,2,2,148.02,148.02,148.02,148.02,search_GOLD,agree,False,148.02,148.02,search_GOLD,1,,,148.02,True,"A person is standing straight on the ground, looking up at an airplane which is "
7,free_single,T4,T4,False,unchanged,1,1,,,,,,,False,,,none,0,,,,False,"The circumference of a circle is divided into $45$ arcs, each of length $1$. Ini"
8,free_single,T2,T1,True,promoted,2,3,420 mL,420mL,420,420,search_GOLD,agree,False,420,420,search_GOLD,1,,,420,True,What quantity of 70 per cent acid solution must be mixed with a 25 solution to p
9,free_multi,T3,T3,False,unchanged,1,1,,,"L-8x, 6F","L-8x,6F",wolfram_HIGH,,False,"L-8x,6F","L-8x, 6F",wolfram_HIGH,2,"L-8x, 6F",HIGH,,False,Solve the equation for $y$: 8x+6 y F=L $\begin{array}{cccc}\hline &  y=& & [ANS]
10,MCQ,T3,T3,False,unchanged,2,2,E,E,,,,,False,E,E,teacher_2of3,0,,,,False,What is the value of the integral $\int_{\mid z \mid=\rho} \frac{\mid\mathrm{d} 
11,free_single,T3,T4,True,demoted,1,1,,,,,,,False,,,none,1,0.939,CONSENSUS-ONLY,,False,"Consider simple linear regression with $n$ pairs of numbers $x_i,y_i$. Let ${\ha"
12,free_multi,T2,T1,True,promoted,2,3,"2c+4p=70,11","2c+4p=70,11","2c + 4p = 70, 11","2c+4p=70,11",wolfram_HIGH,agree,False,"2c+4p=70,11","2c + 4p = 70, 11",wolfram_HIGH,2,"2c + 4p = 70, 11",HIGH,,False,"A barnyard is full of chickens and pigs, and the total number of chicken feet an"
13,MCQ,T1,T2,True,demoted,3,3,C,C,,,,,False,C,C,teacher_3of3,0,,,,False,Solve the integral: $$ \int \frac{ 6 }{ \cos(-4 \cdot x)^7 \cdot \sin(4 \cdot x)
14,free_single,T3,T3,False,unchanged,1,2,\frac{\ln(35)}{\ln(3)},\frac{\ln(35)}{\ln(3)},,,,,False,\frac{\ln(35)}{\ln(3)},\frac{\ln(35)}{\ln(3)},teacher_2of3,1,,,,False,Use logarithms to find an EXACT solution to the equation below. $7 \cdot 3^t=245
15,free_multi,T1,T2,True,demoted,3,3,"8,NONE","8,NONE",,,,,False,"8,NONE","8,NONE",teacher_3of3,2,,,,False,"Are the functions below polynomials? If they are, enter their degree. If not, en"
16,free_single,T1,T2,True,demoted,3,3,501,501,,,,,False,501,501,teacher_3of3,0,,,,False,Rose and Brunno play the game on a board shaped like a regular 1001-gon. Initial
17,MCQ,T2,T3,True,demoted,2,2,C,C,,,,,False,C,C,teacher_2of3,0,,,,False,"Let $a_0=1$, $a_1=2$, and $a_n=4a_{n-1}-a_{n-2}$ for $n\geq 2$. Find the least o"
18,MCQ,T1,T2,True,demoted,3,3,H,H,,,,,False,H,H,teacher_3of3,0,,,,False,Dani has 45 marbles. She has 5 times as many marbles as Joe has. How many marble
19,MCQ,T3,T4,True,demoted,1,1,,,,,,,False,,,none,0,,,,False,"Consider the sequence defined by $j_0=1$, $j_1=2$, and $j_c=4j_{c-1}-j_{c-2}$ fo"
20,free_multi,T3,T2,True,promoted,2,3,"228, 229, 250","228,229,250",,,,,False,"228,229,250","228, 229, 250",teacher_3of3,3,,,,False,A sample of prices for eight television sets available at a local electronics st
21,free_multi,T3,T4,True,demoted,1,1,,,,,,,False,,,none,2,,,,False,"The average life expectancy in the United States, $L$, has been rising steadily "
22,MCQ,T3,T3,False,unchanged,2,2,G,G,,,,,False,G,G,teacher_2of3,0,,,,False,"Let $P$ be a polyhedron with $37$ faces, all of which are equilateral triangles,"
23,MCQ,T2,T2,False,unchanged,3,3,H,H,,,,,False,H,H,teacher_3of3,0,,,,False,The distance between points $A$ and $B$ is 5 km. Person A walks from $A$ towards
24,free_single,T1,T1,False,unchanged,3,3,1,1,1,1,search_GOLD,agree,False,1,1,search_GOLD,1,,,1,True,"Suppose that the line $\hat{y}=3+2x$ is fitted to the data points (-1,2), (2,7),"
25,free_multi,T2,T2,False,unchanged,2,3,"\frac{8}{63},\frac{2}{21},\frac{11}{63},\frac{17}{63},\frac{13}{63},\frac{8}{63},8,14,25,42,55,63","\frac{8}{63},\frac{2}{21},\frac{11}{63},\frac{17}{63},\frac{13}{63},\frac{8}{63},8,14,25,42,55,63","8/63, 6/63, 11/63, 17/63, 13/63, 8/63","8/63,6/63,11/63,17/63,13/63,8/63",search_GOLD,review,False,"8/63,6/63,11/63,17/63,13/63,8/63","8/63, 6/63, 11/63, 17/63, 13/63, 8/63",search_GOLD,12,,,"8/63, 6/63, 11/63, 17/63, 13/63, 8/63",True,$\begin{array}{cc}\hline Grade on Statistics Exam & Frequency \\ \hline Below 50
26,MCQ,T3,T3,False,unchanged,2,2,I,I,232,INVALID,search_GOLD,review,False,I,I,teacher_2of3,0,,,232,True,"If $abc-ab-bc-ca+a+b+c=2008$ for positive integers $a$ , $b$ , and $c$ , then de"
27,free_multi,T3,T2,True,promoted,1,3,"1/3, 2/3, 7/6, 11/6","1/3,2/3,7/6,11/6",,,,,False,"1/3,2/3,7/6,11/6","1/3, 2/3, 7/6, 11/6",teacher_3of3,2,,,,False,"Solve the following equations in the interval [0,2 $\pi$]. Note: Give the answer"
28,free_multi,T1,T2,True,demoted,3,3,"2,70,1,768,2,140","2,70,1,768,2,140",,,,,False,"2,70,1,768,2,140","2,70,1,768,2,140",teacher_3of3,6,,,,False,a) In a dictionary 16 pages are 1 millimeter thick. To find the thickness of 112
29,free_single,T1,T2,True,demoted,3,3,38.2\%,38.2,,,,,False,38.2,38.2\%,teacher_3of3,1,,,,False,"A mixture of 60 liters of paint is 25\% red tint, 30\% yellow tint and 45\% wate"
30,free_multi,T2,T2,False,unchanged,2,3,"2944, 664","2944,664",,,,,False,"2944,664","2944, 664",teacher_3of3,2,,,,False,"College officials want to estimate the percentage of students who carry a gun, k"
31,free_multi,T1,T2,True,demoted,3,3,"-3,42","-3,42",,,,,False,"-3,42","-3,42",teacher_3of3,2,,,,False,"Divide or state that the division is undefined. (In this case, enter undefined.)"
32,free_multi,T2,T3,True,demoted,2,2,"\sqrt{101},-1,-\frac{7}{2}","\sqrt{101},-1,-\frac{7}{2}",,,,,False,"\sqrt{101},-1,-\frac{7}{2}","\sqrt{101},-1,-\frac{7}{2}",teacher_2of3,3,,,,False,"The distance between $(4,-3)$ and $(-6,-4)$ is [ANS] The midpoint of the line se"
33,MCQ,T3,T3,False,unchanged,2,2,F,F,28,INVALID,search_GOLD,review,False,F,F,teacher_2of3,0,,,28,True,"A rectangle, $HOMF$, has sides $HO=11$ and $OM=5$. A triangle $ABC$ has $H$ as t"
34,MCQ,T2,T2,False,unchanged,3,3,J,J,,,,,False,J,J,teacher_3of3,0,,,,False,"Given the following values for a variable: minimum value is 3, first quartile (Q"
35,free_multi,T3,T3,False,unchanged,1,2,"downward, \ln p","downward,\lnp",,,,,False,"downward,\lnp","downward, \ln p",teacher_2of3,2,,,,False,Applying a horizontal stretch by a factor of $p$ (where $p$ is a constant such t
36,free_single,T2,T1,True,promoted,2,3,40x^{10}y^{9},40x^{10}y^{9},40x^{10}y^9,40x^{10}y^9,search_GOLD,agree,False,40x^{10}y^9,40x^{10}y^9,search_GOLD,1,,,40x^{10}y^9,True,Multiply using the product rule: $(-8x^{5} y^{6})(-5x^{5} y^{3})$=[ANS]
37,free_multi,T4,T3,True,promoted,1,2,"Tommy, Chucky, February 7","Tommy,Chucky,February7",,,,,False,"Tommy,Chucky,February7","Tommy, Chucky, February 7",teacher_2of3,3,,,,False,"Chucky takes his first step on January 1, 2000. Every day after that, he takes 3"
38,MCQ,T1,T2,True,demoted,3,3,B,B,,,,,False,B,B,teacher_3of3,0,,,,False,Calculate the following products: $$ \int_{C} \frac{d z} {( z-1 )^{2} ( z^{2}+1 
39,free_single,T1,T2,True,demoted,3,3,475,475,,,,,False,475,475,teacher_3of3,1,,,,False,One piece of paper is approximately $17$ millimeters in thickness. A stack of pa
40,free_single,T2,T1,True,promoted,2,3,D = 800 - 50d,800-50d,D = 800 - 50d,800-50d,wolfram_HIGH,agree,False,800-50d,D = 800 - 50d,wolfram_HIGH,1,D = 800 - 50d,HIGH,,False,A homing pigeon starts 800 miles from home and flies 50 miles toward home each d
41,free_single,T4,T4,False,unchanged,2,2,4048,4048,2112,2112,wolfram_HIGH,disagree,True,,,conflict,0,2112,HIGH,,False,Consider a $2025 \times 2025$ grid of unit squares. Matilda wishes to place on t
42,free_multi,T2,T2,False,unchanged,2,3,"No, Yes, A","No,Yes,A",,,,,False,"No,Yes,A","No, Yes, A",teacher_3of3,3,,,,False,Lindsey thinks a certain potato chip maker is putting fewer chips in their regul
43,free_multi,T3,T2,True,promoted,1,3,"\frac38,14,28","\frac{3}{8},14,28",,,,,False,"\frac{3}{8},14,28","\frac38,14,28",teacher_3of3,3,,,,False,Use half angle formulas to fill in the blanks in the identity below: $(\sin(7x))
44,free_multi,T2,T2,False,unchanged,2,3,"True, True, True, False","True,True,True,False",,,,,False,"True,True,True,False","True, True, True, False",teacher_3of3,4,,,,False,"Select True or False, depending on whether the corresponding statement is true o"
45,MCQ,T4,T4,False,unchanged,2,2,A,A,F,F,search_GOLD,disagree,True,,,conflict,0,,,F,True,We now define an algorithm: The definition of a(n) is the sequence where a(n) re
46,free_multi,T3,T4,True,demoted,1,1,,,,,,,False,,,none,7,,,,False,A random sample of $100$ observations from a population with standard deviation 
47,MCQ,T2,T2,False,unchanged,3,3,F,F,,,,,False,F,F,teacher_3of3,0,,,,False,Find all natural numbers that satisfy $3^{m}-1$ being divisible by $2^{m}$.
48,free_single,T1,T2,True,demoted,3,3,C,C,,,,,False,C,C,teacher_3of3,1,,,,False,Rewrite the exponential equation $e^{-2} \approx 0.135$ in equivalent logarithmi
49,free_single,T2,T3,True,demoted,2,2,0.0143,0.0143,,,,,False,0.0143,0.0143,teacher_2of3,1,,,,False,Assume you are using a significance level of $\alpha=0.05$ to test the claim tha
50,free_multi,T3,T4,True,demoted,1,1,,,,,,,False,,,none,2,,,,False,An apple contains 140 calories and 3 g of fiber. A banana contains 150 calories 
51,free_single,T3,T3,False,unchanged,1,2,25452_8,25452_8,,,,,False,25452_8,25452_8,teacher_2of3,1,,,,False,"Using the multiplication table, compute $651 _{8} \times 32 _{8}$ $\begin{array}"
52,free_multi,T1,T2,True,demoted,3,3,"231,385","231,385",,,,,False,"231,385","231,385",teacher_3of3,2,,,,False,You work in a lab. One day you need 616 oz of a chemical solution consisting of 
53,MCQ,T2,T2,False,unchanged,3,3,F,F,,,,,False,F,F,teacher_3of3,0,,,,False,A bird is lost in a 3 by 3 by 3 cubical maze. The bird flies from room to room g
54,free_single,T4,T3,True,promoted,2,2,1,1,,,,,False,1,1,teacher_2of3,0,,,,False,"Let $P$ be a polygon formed by the edges of an infinite chessboard, which does n"
55,free_single,T3,T2,True,promoted,1,3,y = 5x^4,5x^4,,,,,False,5x^4,y = 5x^4,teacher_3of3,1,,,,False,Write an equation for $y$ in terms of $x$ if $y$ is proportional to the fourth p
56,free_multi,T2,T2,False,unchanged,3,3,"D,D,A","D,D,A",,,,,False,"D,D,A","D,D,A",teacher_3of3,3,,,,False,"For each problem, select the best response. (a) Can one predict a student's scor"
57,free_single,T1,T1,False,unchanged,3,3,4,4,4,4,search_GOLD,agree,False,4,4,search_GOLD,1,,,4,True,"A rectangular plot, 19 ft by 18 ft, is to be used for a garden. It is decided to"
58,free_single,T2,T3,True,demoted,2,2,31,31,,,,,False,31,31,teacher_2of3,0,,,,False,Let $\mathbb{Z}_{>0}$ denote the set of positive integers. Let $f : \mathbb{Z}_{
59,free_single,T1,T2,True,demoted,3,3,49,49,,,,,False,49,49,teacher_3of3,1,,,,False,Evaluate the numerical expression $343^\frac{2}{3}.$ Answer: [ANS] Note: You can
60,free_multi,T2,T2,False,unchanged,3,3,"C,A","C,A",,,,,False,"C,A","C,A",teacher_3of3,2,,,,False,Suppose we were comparing the mean age of buyers of new domestic cars to the mea
