item_id,question,predicted_kaggle_answer,confidence_pct,tier
0,"Use the order of operations to simplify: a) $[13-(11-11)]-[8-(5-6)]=$ [ANS]
b) $4 \cdot 3-2+2 \cdot 3=$ [ANS]",16,54.66,4
1,"Assuming the weights corresponding to the sign values are reduced by 1/10, then the arithmetic mean is ().",A,99.0,1
2,"According to a recent marketing campaign, $120$ drinkers of either Diet Coke or Diet Pepsi participated in a blind taste test to see which of the drinks was their favorite. In one Pepsi television commercial, an anouncer states that ""in recent blind taste tests, more than one half of the surveyed preferred Diet Pepsi over Diet Coke."" Suppose that out of those $120$, $52$ preferred Diet Pepsi. Test the hypothesis, using $\alpha=0.05$ that more than half of all participants will select Diet Pepsi in a blind taste test by giving the following:
(a) $\ $ the test statistic $\ $ [ANS]
(b) $\ $ the critical $z$ score $\ $ [ANS]
The final conclustion is [ANS] A. There is not sufficient evidence to reject the null hypothesis that $p \le 0.5$.  B. We can reject the null hypothesis that $p \le 0.5$ and accept that $p > 0.5$.","-1.461, 1.645, A",45.33,4
3,"It is known that there are two types of fish in the pond, in a ratio of 7:3. If one fish is randomly caught and its type is guessed randomly according to probabilities of 70% and 30%, then the overall error is approximately( ).",B,99.0,1
4,"If the point (10,-7) is on the terminal side of the angle $\theta$ in standard position, $\sin (\theta)=$ [ANS] ; $\cos (\theta)=$ [ANS] ; $\tan (\theta)=$ [ANS].","-0.5735, 0.8192, -0.7000",33.41,5
5,"An experiment is conducted to determine whether there is a differnce among the mean increases in growth produced by five strains (A, B, C, D and E) of growth hormones for plants. The experimental material consists of 20 cuttings of a shrub (all of equal weight), with four cuttings randomly assigned to each of the five different strains. The increases in weight for each cutting along with the sample mean and sample standard deviation of each group are given in the table below.
$\begin{array}{cccccc}\hline & A & B & C & D & E \\ \hline Plant 1 & 17 & 24 & 23 & 17 & 9 \\ \hline Plant 2 & 11 & 24 & 23 & 13 & 10 \\ \hline Plant 3 & 15 & 19 & 23 & 14 & 9 \\ \hline Plant 4 & 13 & 23 & 20 & 11 & 9 \\ \hline Mean & 14 & 22.5 & 22.25 & 13.75 & 9.25 \\ \hline Standard Dev. & 2.5820 & 2.3805 & 1.5000 & 2.5000 & 0.5000 \\ \hline \end{array}$
It is also given that the overall mean=16.35. Compute the following:
(a) SSTR $=$ [ANS]
(b) SSE $=$ [ANS]
(c) MSTR $=$ [ANS]
(d) MSE $=$ [ANS]
(e) F $=$ [ANS]",32.09,52.57,4
6,"A person is standing straight on the ground, looking up at an airplane which is taking off. His eyes is ${5.5\ {\rm ft}}$ from the ground. Horizontally, the person is ${176\ {\rm ft}}$ away from the airplane. The angle of elevation from his eyes to the airplane is $39$ degrees. Find the height of the airplane. Round your answer to two decimal places if needed. The height of the airplane is [ANS]ft.",148.02,77.43,3
7,"The circumference of a circle is divided into $45$ arcs, each of length $1$. Initially, there are $15$ snakes, each of length $1$, occupying every third arc. Every second, each snake independently moves either one arc left or one arc right, each with probability $\frac{1}{2}$. If two snakes ever touch, they merge to form a single snake occupying the arcs of both of the previous snakes, and the merged snake moves as one snake. Compute the expected number of seconds until there is only one snake left.",56,95.51,1
8,What quantity of 70 per cent acid solution must be mixed with a 25 solution to produce 756 mL of a 50 per cent solution? [ANS],420,84.12,2
9,"Solve the equation for $y$:
8x+6 y F=L
$\begin{array}{cccc}\hline &  y=& & [ANS] [ANS] \\ \hline \end{array}$",\dfrac{L - 8x}{6F},85.57,2
10,"What is the value of the integral $\int_{\mid z \mid=\rho} \frac{\mid\mathrm{d} z \mid} {\mid z-a \mid^{2}}$? Where $a \neq 0$, $a \neq \rho$, $\rho > 0$.",E,77.43,3
11,"Consider simple linear regression with $n$ pairs of numbers $x_i,y_i$. Let ${\hat\beta}_0+{\hat\beta}_1x$ be the least squares line where ${\hat\beta}_0={\overline y}-{\hat\beta}_1{\overline x}$ and ${\hat\beta}_1=r_{xy}s_y/s_x$. In terms of the summary statistics, derive a simple expression for the residual standard deviation $[\sum_{i=1}^n e_i^2/(n-2)]^{1/2}$, where $\sum_{i=1}^n e_i^2=\sum_{i=1}^n (y_i-{\hat\beta}_0-{\hat\beta_1}x_i)^2$ For a question like this one that involves a derivation, after you formulate an algebraic solution, check its validity on some numerical regression examples with small data sets. If you match numerically in some instances, your answer is likely correct. If your theoretical answer doesn't match the numerical cases, go back to review your ""derivation"".
Part a) To validate whether you have the correct expression, suppose $n=45$, $r_{xy}=0.7$, $s_y=1.3$ and $s_x=1.5$. What is your value of the residual SD: [ANS]",answer,55.37,4
12,"A barnyard is full of chickens and pigs, and the total number of chicken feet and pig feet is $70$.
(a) If there are $c$ chickens and $p$ pigs in the barnyard, write an equation relating the number of chickens and pigs to the total number of feet in the barnyard. [ANS]
(b) If there are $13$ chickens, how many pigs are there?
Number of pigs=[ANS]","2c+4p=70,\ 11",60.25,3
13,"Solve the integral:
$$
\int \frac{ 6 }{ \cos(-4 \cdot x)^7 \cdot \sin(4 \cdot x) } \, dx
$$",C,99.0,1
14,"Use logarithms to find an EXACT solution to the equation below.
$7 \cdot 3^t=245$
$t=$ [ANS] (do NOT approximate your answer)",\dfrac{\ln 35}{\ln 3},96.23,1
15,"Are the functions below polynomials? If they are, enter their degree. If not, enter NONE. $f(x)=x^{8}+4$ has degree [ANS]
$g(x)=8^x+4$ has degree [ANS]","8, NONE",97.68,1
16,"Rose and Brunno play the game on a board shaped like a regular 1001-gon. Initially, all vertices of the board are white, and there is a chip at one of them. On each turn, Rose chooses an arbitrary positive integer \( k \), then Brunno chooses a direction: clockwise or counterclockwise, and moves the chip in the chosen direction by \( k \) vertices. If at the end of the turn the chip stands at a white vertex, this vertex is painted red.

Find the greatest number of vertices that Rose can make red regardless of Brunno's actions, if the number of turns is not limited.",858,63.1,3
17,"Let $a_0=1$, $a_1=2$, and $a_n=4a_{n-1}-a_{n-2}$ for $n\geq 2$. Find the least odd prime factor of $a_{2015}$.",E,63.1,3
18,Dani has 45 marbles. She has 5 times as many marbles as Joe has. How many marbles does Joe have?,INVALID,45.37,4
19,"Consider the sequence defined by $j_0=1$, $j_1=2$, and $j_c=4j_{c-1}-j_{c-2}$ for $c\geq 2$. Determine the smallest odd prime factor of $j_{155}$.",D,63.1,3
20,"A sample of prices for eight television sets available at a local electronics store is given below:
242 \quad 202 \quad 216 \quad 250 \quad 188 \quad 250 \quad 178 \quad 298 Find the mean, median, and mode for this sample. Sample
Mean=[ANS]
Sample Median=[ANS]
Sample Mode=[ANS]",229,49.19,4
21,"The average life expectancy in the United States, $L$, has been rising steadily over the past few decades, as shown in the table below. Let $t$ be the number of years since 1920, (so $t=0$ represents the year 1920).
$\begin{array}{ccccccccc}\hline Year & 1920 & 1930 & 1940 & 1950 & 1960 & 1970 & 1980 & 1990 \\ \hline Life expectancy & 57.5 & 59.4 & 62.4 & 65.9 & 68.8 & 71.1 & 74.3 & 77.7 \\ \hline \end{array}$
(a) Find the equation of the regression line. Average life expectancy, $L(t)=$ [ANS]. Note: this is a function of $t$ (not $x$). (b) Estimate the average life expectancy in the United States in the year 1956 according to the linear model in part (a). Average life expectancy in 1956 $\approx$ [ANS].",67.43,58.75,4
22,"Let $P$ be a polyhedron with $37$ faces, all of which are equilateral triangles, squares, or regular pentagons with equal side length. Given there is at least one of each type of face and there are twice as many pentagons as triangles, what is the sum of all the possible number of vertices $P$ can have?",G,77.43,3
23,"The distance between points $A$ and $B$ is 5 km. Person A walks from $A$ towards $B$, while Person B rides a bicycle from $B$ towards $A$ at the same time. The speed of the bicycle is twice the walking speed. After meeting Person A, Person B turns around and return to $B$. Once arriving back at $B$, Person B again rides the bicycle towards $A$, repeating this back-and-forth motion. What is the total distance traveled by Person B when Person A arrives at $B$?",H,99.0,1
24,"Suppose that the line $\hat{y}=3+2x$ is fitted to the data points (-1,2), (2,7), and (5,13). Determine the sum of the squared residuals. Sum of the Squared Residuals=[ANS]",2,81.65,2
25,"$\begin{array}{cc}\hline Grade on Statistics Exam & Frequency \\ \hline Below 50 & 8 \\ \hline 50-59 & 6 \\ \hline 60-69 & 11 \\ \hline 70-79 & 17 \\ \hline 80-89 & 13 \\ \hline 90-100 & 8 \\ \hline \end{array}$
Given the frequency table above, construct the following:
(a) The relative frequency table that corresponds with the above table.
$\begin{array}{cc}\hline Grade on Statistics Exam & Relative Frequency \\ \hline Below 50 & [ANS] \\ \hline 50-59 & [ANS] \\ \hline 60-69 & [ANS] \\ \hline 70-79 & [ANS] \\ \hline 80-89 & [ANS] \\ \hline 90-100 & [ANS] \\ \hline \end{array}$
(b) The cumulative frequency table that corresponds with the above table.
$\begin{array}{cc}\hline Grade on Statistics Exam & Cumulative Frequency \\ \hline Below 50 & [ANS] \\ \hline 50-59 & [ANS] \\ \hline 60-69 & [ANS] \\ \hline 70-79 & [ANS] \\ \hline 80-89 & [ANS] \\ \hline 90-100 & [ANS] \\ \hline \end{array}$","8, 14, 25, 42, 55, 63",83.39,2
