id,answer
0,"4,16"
1,A
2,"-1.46,1.645,A"
3,B
4,"-\frac{7}{\sqrt{149}},\frac{10}{\sqrt{149}},-\frac{7}{10}"
5,"541.3,63.25,135.325,4.2167,32.09"
6,148.03
7,\frac{112}{3}
8,420\text{ mL}
9,\frac{L-8x}{6F}
10,E
11,0.939
12,"2c+4p=70,11"
13,C
14,\frac{\log 35}{\log 3}
15,"8,\text{NONE}"
16,501
17,E
18,H
19,C
20,"228,229,250"
21,"L(t)\approx0.21917t+59.4667,\ 67.4"
22,H
23,H
24,1
25,"\frac{8}{63},\frac{2}{21},\frac{11}{63},\frac{17}{63},\frac{13}{63},\frac{8}{63},8,14,25,42,55,63"
26,I
27,"\frac13,\frac23,\frac76,\frac{11}{6}"
28,"2,70,1,768,2,140"
29,38.2\%
30,"2944,664"
31,"-3,42"
32,"\sqrt{101},-1,-\frac{7}{2}"
33,H
34,J
35,"downward,\ln p"
36,40x^{10}y^9
37,"Tommy,Chucky,February\ 7"
38,B
39,475
40,D=800-50d
41,4048
42,"\text{No},\text{Yes},\text{A}"
43,"\frac38,14,28"
44,"\text{True,True,True,False}"
45,A
46,"1.645,1.7193,1.96,-1.96,1.7193,B,A"
47,F
48,C
49,0.0143
50,"140A+150B=5930,3A+4B=142"
51,25352_8
52,"231,385"
53,F
54,1
55,y=5x^4
56,"D,D,A"
57,4
58,7
59,49
60,"C,A"
61,"0.76c,0,150,0.69c+10.5,150"
62,"-15,192,0"
63,"18.903,15.897"
64,P(t)=850-350\cos\left(\frac{\pi t}{6}\right)
65,"-\frac{6}{7},\frac{2}{7}"
66,2353.64
67,"7.6(1.09)^t,13.9,5.4"
68,"-2.857,3.760,-2.011,3.707,-3.707,A,-8.124,2.410"
69,"\text{None of the listed options; } \int_0^\pi f(x)\,dx=\frac{\pi^2-2\pi}{2}"
70,\frac{5}{56}
71,"\frac{29}{25},18"
72,"-0.8352,-0.9187,0.3950,-2.3258,\text{Quadrant IV}"
73,E
74,"(12.30,\ 25.10)"
75,x>21250
76,"-4,-11,3,33,-32,9,-14,-13"
77,"C,D,A"
78,A
79,\frac{25}{7}
80,G
81,79.41
82,"1.32,1.677,\text{No}"
83,355
84,"-4,5,-11"
85,F
86,16
87,"OBSERVATION,OBSERVATION,EXPERIMENT"
88,C
89,\frac{326}{7}
90,7n+1
91,H
92,E
93,51
94,C
95,6
96,158\%
97,"0,4,4"
98,A
99,"-6,12,-6"
100,\frac{180}{7}
101,"C,C,A,C"
102,I
103,8\sqrt{2}
104,\frac{2387\pi}{1800}
105,"24,9.11"
106,\frac{13}{6}
107,J
108,"72,12x"
109,B
110,"A,3,9"
111,8x^3
112,1038
113,\frac{25-2(x+4)^2}{25}
114,D
115,"11x-1200,11,109,(y+1200)/11,1958"
116,"30,6"
117,B
118,\frac{18}{5}
119,"A,C,B,D"
120,8
121,35
122,"1174.8,55"
123,G
124,H
125,G
126,138000
127,10.7
128,\frac{y-3}{y+3}
129,"\frac{5}{\sin t},\sqrt{7},-3\cos t,2\sqrt{2}\tan t"
130,r^{42}
131,0.1075
132,10.8
133,"-\frac{\sqrt3}{2},\frac12,-\sqrt3,2"
134,"1,5,12,20,26,30,31,27.625"
135,\frac{3}{5}
136,"A,C"
137,"2/13,2/1"
138,7236.81
139,"201,\frac{1}{n(n+1)}"
140,2744
141,A
142,"7, 8, 9, 10, 11"
143,"(0,-8),(0,6),(3,3\sqrt3)"
144,E
145,"\frac{x}{5280},4.73,25000"
146,F
147,I
148,A
149,6.85
150,A
151,36
152,J
153,B
154,\$18.75
155,12.17\text{ ft}
156,H
157,"-7\cos(0.1t)+50\sin(0.1t),46.3007"
158,"A,C"
159,"0.07,0.007,0.0007"
160,"\frac{22+x}{y},\frac{22+x}{y},\text{Identity Property of Multiplication}"
161,\binom{2024}{1013}
162,B
163,"9,-5,4"
164,H
165,I
166,175\left(\frac14\right)^n
167,"Negative,Negative,Positive,Negative"
168,"A,C,B,B"
169,400\%
170,C
171,20
172,\frac{1320}{3721}
173,C
174,"7,\frac{7}{8}"
175,I
176,\frac{p-6k-m}{8}
177,H
178,C
179,"29,3,21,1,21,4,19,4,23,3"
180,\frac{1}{2}m-\frac{7}{2}
181,A
182,H
183,D
184,E
185,"T,F,T,F,T"
186,D
187,"1.1027,0.0424,0.7113,0.7160,46,44,2,51,49"
188,"60,60,60"
189,850a+1200r=35000
190,-\frac{21}{8}
191,"D,A,C,B,E"
192,"0.86,(1.88,\mathrm{infty}),0.1953,A"
193,"A,\ C,\ D"
194,"600,September,1907,345,July,1906"
195,"(-2.386,\,-0.814)"
196,"14.7447,10.3244,35"
197,"3,4"
198,0
199,51
200,I
201,(5t+8)(5t+8)
202,\frac{54}{35}
203,I
204,E
205,"\frac34,\frac{11}{20}"
206,4
207,\frac{14}{5}
208,"\frac{81}{5},\frac{720}{49\pi}"
209,B
210,"-\frac{25\sqrt3+16\sqrt{33}}{15},\frac{2x}{1+x^2}"
211,G
212,J
213,\frac{2}{9}
214,"11,F,10,T"
215,752
216,60
217,C
218,\arcsin\left(\frac{7}{10}\right)
219,27
220,A
221,2750
222,C
223,A
224,2643
225,"0.600,4,2.776,A"
226,8
227,"A,C"
228,v^7
229,n-2
230,\frac{\log(8/25)}{\log(1.6)}
231,y=\frac{16}{31}x+\frac{1029}{217}
232,"40,37,3"
233,"1.96,-1.96,-5.18"
234,29x^7+6x^5
235,B
236,"6e,-6"
237,50\%
238,"-61,61,62"
239,"35,3.449"
240,"12,4.9,3.3"
241,B
242,"241.22,239.5,233,205.48,14.33,5.94\%"
243,"0.8925,0.2150"
244,F
245,980
246,"25,23,17,23,19"
247,"\frac{2409}{65},\frac{2474}{1+\frac{2409}{65}e^{-0.53t}},2473.84"
248,0
249,G
250,126
251,172.7\%
252,C
253,I
254,H
255,A
256,"-30,30"
257,"2.52,3.00,A"
258,C
259,\text{Cannot be determined from the information provided}
260,"-22,8"
261,4
262,"850-50t,1480-140t,7"
263,H
264,256\pi t^2
265,"A,D"
266,B
267,C
268,"4450,14"
269,"1.79,\ 0.32,\ B"
270,\sqrt{1189}-4\sqrt{69}
271,"-4,0,4"
272,B
273,"\sin^2(x)-1,1,2\cos^2(x)"
274,A
275,\text{No such positive integer }k\text{ exists.}
276,"\left(\frac{1373}{2744},0\right),\text{ none}"
277,"\$38{,}800.00\text{ per year}"
278,38
279,J
280,H
281,"-0.4618,0.8870,-0.5206,-2.1654"
282,"-e^2,\ e^2"
283,114
284,E
285,147
286,H
287,"212,136"
288,"96(0.9)^n,\ 96(0.9)^{12}\approx 27.124,\ 44"
289,"4, 9"
290,C
291,2304
292,-2-\sqrt3
293,P(t)=2025t-4300
294,"43.2, 7.2, 6"
295,C
296,"45,180,270"
297,"0.237, (-infty, -1.88)U(1.88, infty), 0.813, C"
298,C
299,"18805.7,\ \text{no}"
300,6500
301,"0.877,\ 57.2"
302,H
303,C
304,G
305,B
306,E
307,\frac{4}{3}
308,13
309,83000
310,"4k+6,\,5k-11,\,5y+4"
311,1585
312,4
313,-\frac{2\sqrt{14}}{15}
314,"7,-8,-4"
315,"B,B,A"
316,J
317,H
318,"8,\arcsin\left(\frac{8}{15}\right)"
319,"\text{False, True, True, False}"
320,"\text{approaches the normal level }(1),\ 3.73"
321,H
322,"40\text{ ft}, 25\text{ ft}, 1000\text{ ft}^2"
323,"[10,12),\ [-8,-6),\ [10,18),\ [-16,-6)"
324,H
325,"[0,280],[0,14]"
326,"0.67, 0.36, 0.06"
327,7.6
328,"B,D,A,C"
329,J
330,"36,2165.49"
331,F
332,"778, 624"
333,"54, 62"
334,F
335,E
336,D
337,H
338,"\text{(a) y-axis, (b) origin and line }y=x"
339,B
340,"A,\ H,\ F,\ C,\ E"
341,"x+125,(\sqrt[3]{x}+5)^2"
342,"\text{negative, positive, negative, positive, positive}"
343,"D,A,C,B,E"
344,-5
345,"-\frac{5}{6}, \frac{5}{6}"
346,"0.7, 0.07, 0.007"
347,I
348,D
349,-\frac{2}{15}
350,"11100,11001,1100111,1101110,101001101,101010100"
351,A
352,68
353,"8,C,5\text{ and }7,D"
354,"milligrams, grams, tons, solar masses, ounces"
355,H
356,F
357,"320,\ 0.0657"
358,B
359,D
360,D
361,180-7x
362,(6x-5y)(6x+5y)
363,"10000(0.89)^t,4969.81,19.76"
364,"Y,N,Y,N"
365,\text{C}
366,G
367,"60.3^\circ, 46.3^\circ, 53.3^\circ"
368,"C,D,D,E"
369,"\frac34,5,2"
370,"y=-5, 10"
371,7.41
372,0.51
373,"51.09,56.96"
374,4000
375,\text{A. \$3.72}
376,6760
377,B
378,"0.000142,\ 0.00002503,\ 0.00011697,\ 0.1763,\ 17.63\%"
379,480
380,"0.075, 0.239, 32000, 16710, 38000, 0.00248, 52000"
381,2040
382,"\frac{187}{18},\frac{55}{9}"
383,41
384,\frac{\ln\left(\frac{11}{32}\right)-3}{5}
385,"A,A,A"
386,4
387,-230
388,"4.11\%, 3.52\%, 2.94\%, 1.17\%, 0\%"
389,F
390,"\frac{3}{25},-\frac{15}{14}"
391,I
392,81
393,"\frac{1}{10}\arccos\left(\frac{x-6}{16}\right),-10,22"
394,H
395,"\frac{85}{3},-\frac{95}{4},-\frac{10}{7}"
396,"(-\inf,5),\ (-3,5]"
397,"256\pi,\frac{2048\pi}{3}"
