id,answer,question_type,n_ans_slots,confidence,promotion_class,source_wolfram_answer,source_batch
0002,"-1.461, 1.645, A",free_multi,3,HIGH,clean_value,"-1.461, 1.645, A",B9
0004,"-7/sqrt(149), 10/sqrt(149), -7/10",free_multi,3,HIGH,clean_value,"-7/sqrt(149), 10/sqrt(149), -7/10",B9
0005,"541.3, 63.25, 135.325, 4.2167, 32.09",free_multi,5,HIGH,clean_value,"541.3, 63.25, 135.325, 4.2167, 32.09",B2
0009,"L-8x, 6F",free_multi,2,HIGH,clean_value,"L-8x, 6F",B1
0012,"2c + 4p = 70, 11",free_multi,2,HIGH,clean_value,"2c + 4p = 70, 11",B2
0014,ln(35)/ln(3),free_single,1,HIGH,clean_value,ln(35)/ln(3),B19
0015,"8, NONE",free_multi,2,HIGH,clean_value,"8, NONE",B16
0017,C,MCQ,0,HIGH,mcq_letter_mapped_numeric,181,B9
0019,E,MCQ,0,HIGH,mcq_letter_mapped_numeric,181,B18
0024,1,free_single,1,HIGH,clean_value,1,B9
0029,38.2,free_single,1,HIGH,clean_value,38.2,B9
0030,"2944, 664",free_multi,2,HIGH,clean_value,"2944, 664",B13
0032,"sqrt(101), -1, -7/2",free_multi,3,HIGH,clean_value,"sqrt(101), -1, -7/2",B9
0035,"down, ln(p)",free_multi,2,HIGH,clean_value,"down, ln(p)",B16
0041,2112,free_single,0,HIGH,clean_value,2112,WEBSEARCH
0042,"No, Yes, A",free_multi,3,HIGH,clean_value,"No, Yes, A",B13
0043,"3/8, 14, 28",free_multi,3,HIGH,clean_value,"3/8, 14, 28",B15
0044,"True, True, True, False",free_multi,4,HIGH,clean_value,"True, True, True, False",B13
0049,0.0143,free_single,1,HIGH,clean_value,0.0143,B9
0050,"140A+150B=5930, 3A+4B=142",free_multi,2,HIGH,clean_value,"140A+150B=5930, 3A+4B=142",B16
0054,1,free_single,0,MED,clean_value,1,B14
0055,5x^4,free_single,1,HIGH,clean_value,5x^4,B18
0056,"D, D, A",free_multi,3,MED,clean_value,"D, D, A",B17
0063,"15.84, 18.96",free_multi,2,HIGH,clean_value,"15.84, 18.96",B17
0067,"7.6(1.09)^t, 13.9, 5.4",free_multi,3,HIGH,clean_value,"7.6(1.09)^t, 13.9, 5.4",B8
0072,"-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV",free_multi,5,HIGH,clean_value,"-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV",B8
0074,"12.36, 25.04",free_single,1,HIGH,clean_value,"12.36, 25.04",B19
0075,x > 21250,free_single,1,HIGH,clean_value,x > 21250,B14
0088,C,MCQ,0,MED,clean_letter,C,B14
0089,\frac{326}{7},free_single,1,HIGH,clean_value,\frac{326}{7},B8
0097,"0, 4, 4",free_multi,3,HIGH,clean_value,"0, 4, 4",B17
0099,"-6, 12, -6",free_multi,3,HIGH,clean_value,"-6, 12, -6",B17
0100,\frac{180}{7},free_single,1,HIGH,clean_value,\frac{180}{7},B8
0101,"C, C, A, C",free_multi,4,MED,clean_value,"C, C, A, C",B17
0103,8\sqrt{2},free_single,1,HIGH,clean_value,8\sqrt{2},B8
0104,2387*pi/1800,free_single,1,HIGH,clean_value,2387*pi/1800,B9
0105,"24, 9.114",free_multi,2,HIGH,clean_value,"24, 9.114",B9
0106,\frac{13}{6},free_single,1,HIGH,clean_value,\frac{13}{6},B8
0108,"72, 12x",free_multi,2,HIGH,clean_value,"72, 12x",B14
0110,"3, 9",free_multi,2,MED,clean_value,"3, 9",B14
0111,8x^3,free_single,1,HIGH,clean_value,8x^3,B14
0113,(-2x^2-16x-7)/25,free_single,1,HIGH,clean_value,(-2x^2-16x-7)/25,B9
0117,B,MCQ,0,HIGH,clean_letter,B,WEBSEARCH
0118,\frac{18}{5},free_single,1,HIGH,clean_value,\frac{18}{5},B8
0119,"A, C, B, D",free_multi,4,MED,clean_value,"A, C, B, D",B17
0120,8,free_single,0,HIGH,clean_value,8,WEBSEARCH
0124,H,MCQ,0,HIGH,clean_letter,H,B8
0125,G,MCQ,0,HIGH,clean_letter,G,WEBSEARCH
0128,(y-3)/(y+3),free_single,1,HIGH,clean_value,(y-3)/(y+3),B19
0129,"5/sin(t), sqrt(7), -3cos(t), 2sqrt(2)tan(t)",free_multi,4,HIGH,clean_value,"5/sin(t), sqrt(7), -3cos(t), 2sqrt(2)tan(t)",B17
0130,r^42,free_single,1,HIGH,clean_value,r^42,B19
0131,0.1084,free_single,1,HIGH,clean_value,0.1084,B19
0133,"-0.8660, 0.5000, -1.732, 2.000",free_multi,4,HIGH,clean_value,"-0.8660, 0.5000, -1.732, 2.000",B17
