rule_id,rule_name,scope,status,evidence_strength,current_action,rule_statement,why_suspected,source_docs,submission_confirmation,wolfram_confirmation,inference_confirmation,web_or_staff_confirmation,judger_confirmation,implemented_in,notes,last_reviewed
FR001,Free-form extracts last boxed,free-form,confirmed,HIGH,apply,The grader-visible answer for free-form items is the LAST \boxed{} in the response,Source-code analysis and submission probes both say only the final free-form box survives,"grading/GRADER_SPEC.md; grading/GRADER_RESEARCH.md",Probe verified in submission registry and 25_08 Slot 4 behavior,no direct Wolfram dependency,Multi-box raw outputs are common across inference runs,Older Hendrycks source matches this claim,Old local judger differed from Kaggle here,postprocessing/scripts/normalizer.py,Safe canonical rule regardless of later lenience update because it is structural,2026-05-29
FR002,MCQ extracts first boxed letter,MCQ,confirmed,HIGH,apply,MCQ grading uses the FIRST \boxed{LETTER} rather than the last box,Needed to explain why append-at-end MCQ overrides were no-ops,"grading/GRADER_SPEC.md; submission/AMBER_ALERT.md",25_08 Slot 3 no-op and 29_05 full-replace fix confirmed it,no direct Wolfram dependency,MCQ bare-letter-only failures appear in run scan,Starter notebook and old grader path documented this distinction,Current judger has separate MCQ logic too,postprocessing/scripts/normalizer.py,This is the single most important MCQ formatting rule,2026-05-29
FR003,Multi-answer must be one box in order,free-form multi,confirmed,HIGH,apply,Multi-answer outputs must be represented in ONE box with comma-separated values in the correct slot order,Per-slot boxes and reversed order caused large empirical losses,"grading/GRADER_SPEC.md; postprocessing/NORMALIZATION_RULES.md; postprocessing/STRICT_NORMALIZER_SPEC.md",Probe and submission evidence: per-slot boxes catastrophic and order reversal catastrophic,no direct Wolfram dependency,Run scan shows multi-box outputs are pervasive,Competition and starter prompt both imply one boxed list,Local judger accepts more forms than Kaggle did historically,postprocessing/scripts/normalizer.py,Structural rule remains high confidence even if numeric equivalence became more adaptive,2026-05-29
FR004,Multi-slot undercount recovery,free-form multi,confirmed,HIGH,apply,Collect all boxed subanswers and consolidate them into the final boxed answer when the model undercounts,79 percent of the audited failures were attributed to undercount and Slot 4 moved the score materially,"postprocessing/FINDINGS.md; postprocessing/NORMALIZATION_RULES.md; data/undercount_candidates.csv",25_08 Slot 4: +0.014 and +4 slice items,no direct Wolfram dependency,Repo-wide scan found 8417 samples already rich enough to consolidate,no direct staff confirmation needed,Current judger is not the authority but also benefits from structurally complete answers,postprocessing/scripts/normalizer.py,This is the highest-EV confirmed formatting lever in the repo,2026-05-29
FR005,dfrac and tfrac normalize to frac,free-form,confirmed,HIGH,apply,\dfrac and \tfrac are equivalent to \frac for grader-visible comparison,This is explicit in both Hendrycks and current local judger normalization,"grading/GRADER_SPEC.md; grading/GRADER_RESEARCH.md; judger.py",No leaderboard movement expected because this is redundant,no direct Wolfram dependency,Seen throughout inference outputs and sample submission,Supported by Hendrycks source and current local judger code,Current judger also normalizes these,postprocessing/scripts/normalizer.py,Keep in conservative because it is safe and audit-friendly,2026-05-29
FR006,left-right and whitespace stripping,free-form,confirmed,HIGH,apply,\left and \right plus ordinary spacing are not meaningful for grading,Source code shows these are removed before comparison,"grading/GRADER_SPEC.md; grading/GRADER_RESEARCH.md",No dedicated submission needed because source confirms it,no direct Wolfram dependency,Appears frequently in raw model outputs,Supported by Hendrycks source,Current judger also strips these,postprocessing/scripts/normalizer.py,Whitespace-insensitive comma spacing should not consume submission slots,2026-05-29
FR007,Short variable prefix strip,free-form,confirmed,HIGH,apply,Prefixes like x=5 or D=8 are stripped only when the left-hand side is at most two characters,Explicitly documented in source analysis and current judger cleanup,"grading/GRADER_SPEC.md; grading/GRADER_RESEARCH.md; judger.py",No separate submission probe needed because source is explicit,no direct Wolfram dependency,Common in inference traces,Supported by Hendrycks source,Current judger also strips or normalizes similar patterns,postprocessing/scripts/normalizer.py,Do not generalize this into multi-char label stripping without evidence,2026-05-29
FR008,Fraction versus decimal equivalence,free-form numeric,stale-risk,MEDIUM,targeted-only,Under the old grader model decimals and fractions were not generally equivalent except for exact 0.5,Historically documented by Hendrycks source and reinforced by Slot 1 fraction wins, but the user-provided May 2026 judge update may have changed this,"grading/GRADER_SPEC.md; postprocessing/NORMALIZATION_RULES.md; submission/AMBER_ALERT.md; COMPETITION.md",25_08 Slot 1 and 29_05 Build 1 previously supported fraction preference,Wolfram helped identify mathematically correct fraction targets,Teacher and answer-sheet metadata often surfaced fraction targets,Anthony Tong 2026-05-09 said no server-side sympy; user reports May 2026 adaptive update may supersede this,Current judger is clearly more adaptive and sympy-backed than old Hendrycks,postprocessing/scripts/normalizer.py,Keep metadata-backed promotion in default and broad conversion only in aggressive until revalidated on current Kaggle judge,2026-05-29
FR009,Trailing zero significance,free-form numeric,stale-risk,MEDIUM,targeted-only,Under the old grader model trailing zeros were significant but standalone stripping tested neutral on the public slice,Docs flag many candidate items but empirical submission evidence was neutral overall and the new judge update may have made this less important,"postprocessing/FORMAT_RULES.md; postprocessing/NORMALIZATION_RULES.md; grading/GRADER_SPEC.md",Slots 25 and 26 were neutral overall,Wolfram occasionally exposed cleaner numeric surfaces,Run scan found 4003 trailing-zero outputs across stored samples,No direct web confirmation beyond old Hendrycks analysis,Current judger normalizes much more aggressively around numeric expressions,postprocessing/scripts/normalizer.py,Leave out of conservative/default and keep only in aggressive unless current Kaggle behavior is rechecked,2026-05-29
FR010,Multi-char labels are dangerous,free-form,confirmed-old-grader,HIGH,aggressive-only,Prefixes like Mean=228 or A=72 are not reliably stripped by the old grader and can cause losses,This explains concrete failures in the search overlay run,"grading/GRADER_SPEC.md; submission/SCRATCH.md; postprocessing/STRICT_NORMALIZER_SPEC.md",25_08 Slot 2 failures on items 20 108 and 139 were attributed to labels,Wolfram/search often provided raw labeled answers that needed cleaning,Inference traces sometimes emit labeled boxed answers,No direct staff statement,Current judger appears more tolerant because it strips text wrappers and parses expressions,postprocessing/scripts/normalizer.py,Implemented only in aggressive because the current Kaggle update may partially mitigate this but we have not revalidated,2026-05-29
FR011,Star multiplication can fail,free-form expression,confirmed-old-grader,MEDIUM,aggressive-only,Using * instead of canonical math notation could fail under the old grader,Documented as a concrete source of losses in Slot 2 search overlay,"grading/GRADER_SPEC.md; submission/SCRATCH.md",25_08 Slot 2 items 104 and 127 cited as losses,no direct Wolfram confirmation,Appears in some generated symbolic expressions,No staff statement,Current judger may parse these expressions symbolically which increases mismatch risk with old docs,not currently normalized,Do not auto-rewrite broadly until current judge behavior is revalidated,2026-05-29
