id,flags,ans
0004,multi_slot_over_5_of_3,"-\dfrac{7\sqrt{149}}{149},\,\dfrac{10\sqrt{149}}{149},\,-\dfrac{7}{10}"
0027,multi_slot_over_4_of_2,"1/3, 2/3, 7/6, 11/6"
0082,multi_slot_under_3_of_4,"1.323, 1.677, \text{No, there is not sufficient evidence to support the claim}"
0133,multi_slot_over_7_of_4,"-\dfrac{\sqrt{3}}{2},\,\dfrac{1}{2},\,-\sqrt{3},\,2"
0193,mcq_non_letter,"A, C, D"
0210,multi_slot_over_3_of_2,"-\dfrac{16\sqrt{33}+49\sqrt{3}}{15},\,\dfrac{2x}{1+x^2}"
0238,multi_slot_over_5_of_3,"-61,\,61,\,62"
0273,multi_slot_over_5_of_3,"-\cos^2(x),\,1,\,2\cos^2(x)"
0373,multi_slot_over_3_of_2,"50.98,\mu,56.86"
0490,multi_slot_under_2_of_4,"23 \text{ BTUs per square foot}, 410 \text{ square feet}"
0498,blank,
0516,multi_slot_over_4_of_2,"7, -11, 4, 0"
0574,mcq_non_letter,CE
0585,multi_slot_under_4_of_5,"-0.2235, 2.262, -2.262, \text{No}"
0587,multi_slot_over_9_of_4,"B,C,D,E,F,J \quad|\quad C \quad|\quad A,B,C \quad|\quad A,B"
0595,multi_slot_over_5_of_2,"A, D, E, G, \text{probability}"
0622,multi_slot_under_3_of_4,"3.855, 2.567, \text{Yes}"
0633,multi_slot_over_3_of_2,"B,D,8"
0642,multi_slot_over_5_of_3,"6,\,\pi/3,\,13"
0708,multi_slot_over_3_of_2,"-\dfrac{9}{2},\dfrac{9}{2},-\dfrac{81}{4}"
0715,multi_slot_over_12_of_4,"5, 7, 9, 13,\ 8.5,\ 6, 7, 8, 9, 10, 11,\ 8.5"
0786,blank,
0814,multi_slot_under_9_of_10,"5, 4.7256, 0.9451, 1.224, 30, 23.1567, 0.7719, 35, 27.8822"
0834,multi_slot_over_5_of_3,"\dfrac{\pi}{4},\,\dfrac{3\pi}{2},\,-\dfrac{19\pi}{6}"
0858,multi_slot_under_3_of_4,"2.300, 1.691, \text{Yes}"
