id,anchor_answer,opus_answer,agree,anchor_tier,anchor_source,opus_verdict,caphit_forced
0002,"-1.461, 1.645, A","-1.46,1.645,A",False,A,wolfram_only,contradict,False
0004,"-7/sqrt(149), 10/sqrt(149), -7/10","-7\sqrt{149}/149,10\sqrt{149}/149,-7/10",True,A,wolfram_only,corroborate,False
0005,"541.3, 63.25, 135.325, 4.2167, 32.09","541.3,63.25,135.325,4.2167,32.09",True,A,wolfram_only,corroborate,False
0007,448/3,\dfrac{448}{3},True,A,web_search_only,corroborate,False
0009,"L-8x, 6F","\dfrac{L}{6F},-\dfrac{4x}{3F}",False,A,wolfram_only,contradict,False
0012,"2c + 4p = 70, 11","2c+4p=70,11",True,A,wolfram_only,corroborate,False
0014,ln(35)/ln(3),\log_3 35,False,A,wolfram_only,contradict,False
0015,"8, NONE","8,NONE",True,A,wolfram_only,corroborate,False
0017,C,C,True,A+,wolfram+web_search,corroborate,False
0019,E,E,True,A,wolfram_only,corroborate,False
0024,1,1,True,A,wolfram_only,corroborate,False
0029,38.2,38.2,True,A,wolfram_only,corroborate,False
0030,"2944, 664","2944,664",True,A,wolfram_only,corroborate,False
0032,"sqrt(101), -1, -7/2","\sqrt{101},-1,-7/2",True,A,wolfram_only,corroborate,False
0033,F,F,True,A,web_search_only,corroborate,False
0035,"down, ln(p)","down,\ln(p)",False,A,wolfram_only,contradict,False
0041,2112,2112,True,A+,wolfram+web_search,corroborate,False
0042,"No, Yes, A","No,Yes,A",True,A,wolfram_only,corroborate,False
0043,"3/8, 14, 28","3/8,14,28",True,A,wolfram_only,corroborate,False
0044,"True, True, True, False","True,True,True,False",True,A,wolfram_only,corroborate,False
0049,0.0143,\beta \approx 0.0143,,A,wolfram_only,inconclusive,False
0050,"140A+150B=5930, 3A+4B=142","140A+150B=5930,3A+4B=142",True,A,wolfram_only,corroborate,False
0054,1,1,True,A,wolfram_only,corroborate,False
0055,5x^4,y = 5x^4,,A,wolfram_only,inconclusive,False
0056,"D, D, A","D,D,A",True,A,wolfram_only,corroborate,False
0063,"15.84, 18.96","18.96,15.84",True,A,wolfram_only,corroborate,False
0067,"7.6(1.09)^t, 13.9, 5.4","7.6(1.09)^t,13.893,5.384",False,A,wolfram_only,contradict,False
0072,"-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV","-0.8352,-0.9187,0.3950,-2.3258,IV",False,A,wolfram_only,contradict,False
0074,"12.36, 25.04","[12.32,\ 25.08]",,A,wolfram_only,inconclusive,False
0075,x > 21250,x>21250,,A,wolfram_only,inconclusive,False
0088,C,C,True,A,wolfram_only,corroborate,False
0089,\frac{326}{7},46.57,False,A,wolfram_only,contradict,False
0097,"0, 4, 4","0,4,4",True,A+,wolfram+web_search,corroborate,False
0099,"-6, 12, -6","-6,12,-6",True,A,wolfram_only,corroborate,False
0100,\frac{180}{7},180/7,True,A,wolfram_only,corroborate,False
0101,"C, C, A, C","C,C,A,C",True,A,wolfram_only,corroborate,False
