item_id,category,confidence,question_preview
0,FREE,50.0,Use the order of operations to simplify: a) $[13-(11-11)]-[8-(5-6)]=$ [ANS] b) $4 \cdot 3-2+2 \cdot 
2,FREE,50.0,"According to a recent marketing campaign, $120$ drinkers of either Diet Coke or Diet Pepsi participa"
3,MCQ,50.0,"It is known that there are two types of fish in the pond, in a ratio of 7:3. If one fish is randomly"
4,FREE,50.0,"If the point (10,-7) is on the terminal side of the angle $\theta$ in standard position, $\sin (\the"
5,FREE,50.0,An experiment is conducted to determine whether there is a differnce among the mean increases in gro
7,FREE,50.0,"The circumference of a circle is divided into $45$ arcs, each of length $1$. Initially, there are $1"
11,FREE,50.0,"Consider simple linear regression with $n$ pairs of numbers $x_i,y_i$. Let ${\hat\beta}_0+{\hat\beta"
12,FREE,50.0,"A barnyard is full of chickens and pigs, and the total number of chicken feet and pig feet is $70$. "
14,FREE,50.0,Use logarithms to find an EXACT solution to the equation below. $7 \cdot 3^t=245$ $t=$ [ANS] (do NOT
16,FREE,50.0,"Rose and Brunno play the game on a board shaped like a regular 1001-gon. Initially, all vertices of "
17,MCQ,50.0,"Let $a_0=1$, $a_1=2$, and $a_n=4a_{n-1}-a_{n-2}$ for $n\geq 2$. Find the least odd prime factor of $"
18,MCQ,50.0,Dani has 45 marbles. She has 5 times as many marbles as Joe has. How many marbles does Joe have?
19,MCQ,50.0,"Consider the sequence defined by $j_0=1$, $j_1=2$, and $j_c=4j_{c-1}-j_{c-2}$ for $c\geq 2$. Determi"
21,FREE,50.0,"The average life expectancy in the United States, $L$, has been rising steadily over the past few de"
27,FREE,50.0,"Solve the following equations in the interval [0,2 $\pi$]. Note: Give the answer as a multiple of $\"
28,FREE,50.0,a) In a dictionary 16 pages are 1 millimeter thick. To find the thickness of 1120 pages we must (1) 
29,FREE,50.0,"A mixture of 60 liters of paint is 25\% red tint, 30\% yellow tint and 45\% water. 8 liters of yello"
30,FREE,50.0,"College officials want to estimate the percentage of students who carry a gun, knife, or other such "
32,FREE,50.0,"The distance between $(4,-3)$ and $(-6,-4)$ is [ANS] The midpoint of the line segment that joins the"
35,FREE,50.0,Applying a horizontal stretch by a factor of $p$ (where $p$ is a constant such that $p >1$) to $h (x
39,FREE,50.0,One piece of paper is approximately $17$ millimeters in thickness. A stack of paper is $8075$ millim
40,FREE,50.0,A homing pigeon starts 800 miles from home and flies 50 miles toward home each day. Express the dist
41,FREE,50.0,Consider a $2025 \times 2025$ grid of unit squares. Matilda wishes to place on the grid some rectang
43,FREE,50.0,Use half angle formulas to fill in the blanks in the identity below: $(\sin(7x))^4$=[ANS] $-\frac{1}
44,FREE,50.0,"Select True or False, depending on whether the corresponding statement is true or false. [ANS] 1. Fo"
45,MCQ,50.0,We now define an algorithm: The definition of a(n) is the sequence where a(n) represents the number 
46,FREE,50.0,A random sample of $100$ observations from a population with standard deviation $20.3575072960673$ y
