id,answer,category,tier,source,audit_action,wolfram_value_quarantined,source_quality,promotion_class
0002,"-1.461, 1.645, A",FREE,A,wolfram_only,pass,,strong,clean_value
0004,"-7/sqrt(149), 10/sqrt(149), -7/10",FREE,A,wolfram_only,pass,,strong,clean_value
0005,"541.3, 63.25, 135.325, 4.2167, 32.09",FREE,A,wolfram_only,pass,,strong,clean_value
0007,448/3,FREE,A,web_search_only,pass,,strong,clean_value_numeric
0009,"L-8x, 6F",FREE,A,wolfram_only,pass,,strong,clean_value
0012,"2c + 4p = 70, 11",FREE,A,wolfram_only,pass,,strong,clean_value
0014,ln(35)/ln(3),FREE,A,wolfram_only,pass,,strong,clean_value
0015,"8, NONE",FREE,A,wolfram_only,pass,,strong,clean_value
0017,C,MCQ,A+,wolfram+web_search,pass,,strong,mcq_letter_mapped_numeric
0019,E,MCQ,A,wolfram_only,pass,,strong,mcq_letter_mapped_numeric
0024,1,FREE,A,wolfram_only,pass,,strong,clean_value
0029,38.2,FREE,A,wolfram_only,pass,,strong,clean_value
0030,"2944, 664",FREE,A,wolfram_only,pass,,strong,clean_value
0032,"sqrt(101), -1, -7/2",FREE,A,wolfram_only,pass,,strong,clean_value
0033,F,MCQ,A,web_search_only,pass,,strong,mcq_exact_option_match
0035,"down, ln(p)",FREE,A,wolfram_only,pass,,strong,clean_value
0041,2112,FREE,A+,wolfram+web_search,pass,,strong,clean_value
0042,"No, Yes, A",FREE,A,wolfram_only,pass,,strong,clean_value
0043,"3/8, 14, 28",FREE,A,wolfram_only,pass,,strong,clean_value
0044,"True, True, True, False",FREE,A,wolfram_only,pass,,strong,clean_value
0049,0.0143,FREE,A,wolfram_only,pass,,strong,clean_value
0050,"140A+150B=5930, 3A+4B=142",FREE,A,wolfram_only,pass,,strong,clean_value
0054,1,FREE,A,wolfram_only,pass,,strong,clean_value
0055,5x^4,FREE,A,wolfram_only,pass,,strong,clean_value
0056,"D, D, A",FREE,A,wolfram_only,pass,,strong,clean_value
0063,"15.84, 18.96",FREE,A,wolfram_only,pass,,strong,clean_value
0067,"7.6(1.09)^t, 13.9, 5.4",FREE,A,wolfram_only,pass,,strong,clean_value
0072,"-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV",FREE,A,wolfram_only,pass,,strong,clean_value
0074,"12.36, 25.04",FREE,A,wolfram_only,pass,,strong,clean_value
0075,x > 21250,FREE,A,wolfram_only,pass,,strong,clean_value
0088,C,MCQ,A,wolfram_only,pass,,strong,clean_letter
0089,\frac{326}{7},FREE,A,wolfram_only,pass,,strong,clean_value
0097,"0, 4, 4",free_multi,A+,wolfram+web_search,cosmetic_equal_promoted_to_a_plus,,weak,clean_value
0099,"-6, 12, -6",FREE,A,wolfram_only,pass,,strong,clean_value
0100,\frac{180}{7},FREE,A,wolfram_only,pass,,strong,clean_value
0101,"C, C, A, C",FREE,A,wolfram_only,pass,,strong,clean_value
0103,8\sqrt{2},FREE,A,wolfram_only,pass,,strong,clean_value
0104,2387*pi/1800,FREE,A,wolfram_only,pass,,strong,clean_value
0105,"24, 9.114",FREE,A,wolfram_only,pass,,strong,clean_value
0106,\frac{13}{6},FREE,A,wolfram_only,pass,,strong,clean_value
0108,"72, 12x",FREE,A,wolfram_only,pass,,strong,clean_value
0110,"3, 9",FREE,A,wolfram_only,pass,,strong,clean_value
0111,8x^3,FREE,A,wolfram_only,pass,,strong,clean_value
0113,(-2x^2-16x-7)/25,FREE,A,wolfram_only,pass,,strong,clean_value
0117,B,MCQ,A,wolfram_only,pass,,strong,clean_letter
0118,\frac{18}{5},FREE,A,wolfram_only,pass,,strong,clean_value
0119,"A, C, B, D",FREE,A,wolfram_only,pass,,strong,clean_value
0120,8,FREE,A,wolfram_only,pass,,strong,clean_value
0124,H,MCQ,A,wolfram_only,pass,,strong,clean_letter
0125,G,MCQ,A+,wolfram+web_search,pass,,strong,clean_letter
0128,(y-3)/(y+3),FREE,A,wolfram_only,pass,,strong,clean_value
0129,"5/sin(t), sqrt(7), -3cos(t), 2sqrt(2)tan(t)",FREE,A,wolfram_only,pass,,strong,clean_value
0130,r^42,FREE,A,wolfram_only,pass,,strong,clean_value
0131,0.1084,FREE,A,wolfram_only,pass,,strong,clean_value
0133,"-0.8660, 0.5000, -1.732, 2.000",FREE,A,wolfram_only,pass,,strong,clean_value
0134,"1, 5, 12, 20, 26, 30, 31, 27.63",FREE,A,wolfram_only,pass,,strong,clean_value
0135,3/5,FREE,A,wolfram_only,pass,,strong,clean_value
0152,J,MCQ,A,wolfram_only,pass,,strong,clean_letter
0154,18.75,FREE,A,wolfram_only,pass,,strong,clean_value
