id,answer,category,confidence,promotion_class,source_quality,source_type,source_url,source_found_answer,source_notes
0007,448/3,FREE,95,clean_value_numeric,strong,hmmt_2025_feb_comb,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/comb/solutions.pdf,448/3,"HMMT 2025 Feb Combinatorics Round Problem 10 EXACTLY (45 arcs, 15 snakes every 3rd arc, merge on touch, expected time to one snake). Official solution PDF (fetched/read) states When n=15, the answer is therefore 448/3 (E_2=2(n^2-1)/3). PROMOTED PARTIAL->GOLD; teacher 328 is WRONG; CORRECTED value 448 -> 448/3 (the row previously dropped the /3). Verbatim from official comp solution -> GOLD."
0017,C,MCQ,93,mcq_exact_option_match,strong,putnam_archive,https://kskedlaya.org/putnam-archive/2015s.pdf,181,"Putnam 2015 A2 EXACTLY: 'Let a0=1, a1=2, an=4a_{n-1}-a_{n-2}, find odd prime factor of a2015'. Official solution PDF (fetched/read) states 'One possible answer is 181'. 181 appears verbatim as exactly one option (opt index 2). Page states the value; verbatim option match. (Page says 'one possible answer', not explicitly 'least' - but it is the official answer & a verbatim option.)"
0033,F,MCQ,high,mcq_exact_option_match,strong,Putnam,https://faculty.sites.iastate.edu/jmccullo/files/inline-files/s08_5.pdf,28,Putnam 1997 A-1
0041,2112,FREE,95,clean_value_numeric,strong,imo_solution,https://web.evanchen.cc/exams/IMO-2025-notes.pdf,2112,"IMO 2025 Problem 6 EXACTLY (2025x2025 grid, Matilda rectangular tiles). Evan Chen solution notes (fetched/read) literally state 'The answer is 2112 = 2025+2*45-3'. Corroborated by imo-official, AoPS wiki. Free-form; stated answer on real page -> GOLD."
0097,"x=0, y=4, r=4",FREE,high,clean_value_other,weak,HW.Study,https://homework.study.com/,"x=0, y=4, r=4",
0125,G,MCQ,95,mcq_exact_option_match,strong,putnam_archive,https://kskedlaya.org/putnam-archive/2016s.pdf,\boxed{8},Putnam 2016 A1 EXACTLY (smallest l s.t. l-th derivative of any integer-coeff polynomial at any integer is divisible by 2016). Official Putnam solutions PDF (fetched/read) states 'The answer is j = 8'. Option [6]=\boxed{8} matches verbatim. Verbatim option -> GOLD.
0175,I,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A003418/b003418.txt,"[232792560, 232792560, 5354228880, 5354228880, 26771144400, 26771144400, 80313433200, 80313433200, 2329089562800, 2329089562800]","OEIS A003418 'LCM of {1,2,...,n}, a(0)=1' = problem verbatim. b-file read directly: a(21..30) = option [8] list EXACTLY. Verbatim b-file -> option [8]."
0182,E,MCQ,high,mcq_exact_option_match,strong,MathWorld,https://mathworld.wolfram.com/deMeresProblem.html,"P(A)=0.5177,P(B)=0.4914",
0184,A,MCQ,90,clean_letter,strong,OEIS,https://oeis.org/A048720,A,"A048720 carryless GF(2) binary mult table read by antidiagonals. idx 81-90 = [27,32,27,20,27,32,27,20,11,0] = option A."
0204,E,MCQ,95,clean_letter,strong,competition,https://kskedlaya.org/putnam-archive/2023.pdf,E,Putnam 2023 B2: min number of 1-bits in binary of 2023n = 3 = option E.
0222,C,MCQ,95,clean_letter,strong,competition,https://kskedlaya.org/putnam-archive/2010.pdf,C,Putnam 2010 B3: least n = 1005 (need 2010n > 2009*2010/2). Option C.
0255,A,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A084480/b084480.txt,"[1898026232, 8248853134, 35849651070, 155803171860, 677123141810, 2942788286798, 12789406189672, 55582969192486, 241564496305670, 1049843265359828]",OEIS A084480 'Number of tilings of a 4 X 2n rectangle with L tetrominoes' = problem verbatim. b-file read directly: a(15..24) = option [0] list EXACTLY. Verbatim b-file -> option [0].
0263,E,MCQ,high,mcq_exact_option_match,weak,Gauthmath,https://www.gauthmath.com/solution/1800308107100166/,-63/16,
0266,G,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A014126/b014126.txt,"[4263, 4571, 4894, 5231, 5584, 5952, 6336, 6736, 7153, 7586]",OEIS A014126 'Number of partitions of 2*n into at most 4 parts' = problem verbatim. b-file read directly: a(40..49) = option [6] list EXACTLY (verified programmatically). Verbatim b-file -> option [6].
0274,G,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A001471/b001471.txt,"[27027728, 168369110, 1191911840, 7678566800, 53474964992, 418199988338, 3044269834280, 23364756531620, 199008751634000, 1605461415071822]",OEIS A001471 'Number of degree-n permutations of order exactly 3' = this problem verbatim. b-file read directly: a(14..23) = the option [6] list EXACTLY. Verbatim b-file values -> option [6]. No computation.
0285,735,FREE,95,clean_value_numeric,strong,AIME_2025,https://wiki.randommath.com/aime/2025/part-i/problem-15,735,"2025 AIME I Problem 15 EXACTLY (ordered triples a,b,c<=3^6, a^3+b^3+c^3 mult of 3^7, N mod 1000). Random Math Wiki solution (fetched/read) states boxed answer 735 (2*3^11+3^12=5*3^11=735 mod 1000). Free-form; stated answer on real page -> GOLD."
0305,B,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A339378/b339378.txt,"[59, 84, 61, 63, 76, 64, 38, 102, 67, 81]",OEIS A339378 'power-sum of n: Sum_{p|n} p^floor(log_p(n)) (highest power of each prime divisor not exceeding n)' = problem verbatim. b-file read directly: a(59..68) = option [1] EXACTLY. Verbatim b-file -> option [1].
0312,171,FREE,95,clean_value_numeric,strong,USA_TST_2025,https://web.evanchen.cc/exams/sols-TST-IMO-2025.pdf,171,"USA TST 2025 Problem 1 EXACTLY (Ana/Banana game, nonconstant f, prime p<100, f(x+p)=f(x); smallest n for Ana to win). Evan Chen et al. official TST solutions PDF (fetched/read) states 'The answer is n = 83 + 89 - 1 = 171'. Free-form; stated answer -> GOLD."
0324,H,MCQ,95,mcq_exact_option_match,strong,OEIS,https://oeis.org/A007425/b007425.txt,"[45, 15, 9, 3, 54, 9, 9, 9, 30, 3]",OEIS A007425 'd_3(n)/tau_3(n): number of ordered factorizations of n as n=r*s*t' = problem verbatim. b-file read directly: a(80..89) = option [7] list EXACTLY. Verbatim b-file -> option [7].
0329,J,MCQ,95,mcq_exact_option_match,strong,putnam_2017_A6,https://wondrous-teddyteske.wordpress.com/2023/12/28/coloring-the-edges-of-an-icosahedron/,61917364224,"Putnam 2017 A6 EXACTLY (30 labeled icosahedron edges, paint red/white/blue, each of 20 faces has 2 same + 1 different). Theo Teske write-up (search-read) states 3^10 * 2^20 = 61917364224. Option [9]=61917364224 verbatim. Verbatim option -> GOLD."
