id,question_type,n_ans_slots,confidence,skip_reason,source_wolfram_answer
0000,free_multi,2,HIGH,notes_admit_incomplete,"4, 16"
0001,MCQ,0,MED,mcq_options_not_parseable,Unchanged (A)
0010,MCQ,0,MED,mcq_options_not_parseable,2*pi*rho/(rho^2-a^2) form
0011,free_single,1,consensus-only,low_confidence,0.939
0013,MCQ,0,MED,mcq_options_not_parseable,(1/8)(2sec^6(4x)+3sec^4(4x)+6sec^2(4x)+12 ln|tan(4x)|)+C
0017,MCQ,0,HIGH,mcq_options_not_parseable,181
0019,MCQ,0,HIGH,mcq_options_not_parseable,181
0020,free_multi,3,HIGH,notes_admit_incomplete,"228, 229, 250"
0021,free_multi,2,HIGH,notes_admit_incomplete,"0.2915t+56.93, 67.43"
0025,free_multi,12,HIGH,notes_admit_incomplete,"8/63, 2/21, 11/63, 17/63, 13/63, 8/63, 8, 14, 25, 42, 55, 63"
0027,free_multi,2,HIGH,notes_admit_incomplete,"1/3, 2/3, 7/6, 11/6"
0034,MCQ,0,MED,mcq_options_not_parseable,20 is an outlier (Q3+1.5*IQR=19.5<20)
0040,free_single,1,HIGH,notes_admit_incomplete,D = 800 - 50d
0046,free_multi,7,MED,convention_sensitive,"1.645, 1.719, 1.960, -1.960, 1.719, B, A"
0068,free_multi,8,HIGH,convention_sensitive,"-2.857, 6.986, -1.082, 3.707, -3.707, A, -12.647, 6.933"
0069,MCQ,0,HIGH,mcq_options_not_parseable,pi(4-pi)/2
0080,MCQ,0,HIGH,mcq_options_not_parseable,sqrt(3)/12
0082,free_multi,4,MED,marker_in_answer,"1.309, 1.677, ?, No"
0094,MCQ,0,HIGH,mcq_options_not_parseable,4/3
0109,MCQ,0,HIGH,mcq_options_not_parseable,"(a) 4,2 (b) 5,1,1 (c) 3,-1,1"
0114,MCQ,0,MED,mcq_options_not_parseable,sin(2^(n+1) a)/(2^(n+1) sin a)
0123,MCQ,0,HIGH,mcq_options_not_parseable,x^2 cos(y) + y^2 cos(x)
0136,free_multi,2,MED,notes_admit_incomplete,"A, C"
0146,MCQ,0,MED,annotation_contamination,antiderivative (messy radical integral)
0147,MCQ,0,HIGH,mcq_options_not_parseable,25*pi/3
0150,MCQ,0,MED,annotation_contamination,"best L2 cubic approx of e^x on [-1,1] (Legendre)"
0153,MCQ,0,MED,mcq_options_not_parseable,quadratic form standard form via completing square
0156,MCQ,0,HIGH,mcq_options_not_parseable,"eigenvalues -7, 2, 2"
0177,MCQ,0,HIGH,mcq_options_not_parseable,pi^2/6
0178,MCQ,0,HIGH,mcq_options_not_parseable,-4
0183,MCQ,0,MED,mcq_options_not_parseable,reduction formula for int csc^5(x)dx
0188,free_multi,3,HIGH,notes_admit_incomplete,"60, 60, 60"
0192,free_multi,4,HIGH,convention_sensitive,"1.06, (1.88, infty), 0.1449, A"
0196,free_multi,3,HIGH,notes_admit_incomplete,"14.7447, 10.3244, 35"
0211,MCQ,0,HIGH,mcq_options_not_parseable,181
0233,free_multi,4,HIGH,convention_sensitive,"1.96, -1.96, -5.18, B"
0238,free_multi,3,HIGH,notes_admit_incomplete,"-61, 61, 62"
0239,free_multi,2,HIGH,notes_admit_incomplete,"35, 3.450"
0242,free_multi,6,MED,convention_sensitive,"241.2, 239.5, 233, 221.7, 14.89, 6.173"
0252,free_single,1,MED,prose_or_nonanswer,normal populations + equal variances + independence
0257,free_multi,3,HIGH,convention_sensitive,"2.52, 3.00, A"
0262,free_multi,3,HIGH,notes_admit_incomplete,"850-50t, 1480-140t, 7"
0263,MCQ,0,HIGH,mcq_options_not_parseable,-63/16
0265,free_multi,2,MED,convention_sensitive,"A, D"
0267,MCQ,0,HIGH,mcq_options_not_parseable,k = -1/2
0271,free_single,1,HIGH,notes_admit_incomplete,"-4, 0, 4"
0272,MCQ,0,HIGH,mcq_options_not_parseable,x + sqrt(x^2-1)
0279,MCQ,0,MED,mcq_options_not_parseable,Taylor series of f'(x) (sigma form)
0283,free_single,1,MED,annotation_contamination,114 (target HR)
0287,free_multi,2,HIGH,notes_admit_incomplete,"212, 136"
0290,MCQ,0,HIGH,mcq_options_not_parseable,2
0295,MCQ,0,HIGH,mcq_options_not_parseable,8*pi/15
0297,free_multi,4,MED,convention_sensitive,"0.2372, (-inf,-1.881)U(1.881,inf), 0.8126, C"
0304,MCQ,0,MED,annotation_contamination,residue-theorem contour integral (involved)
0306,MCQ,0,HIGH,mcq_options_not_parseable,1
0317,MCQ,0,HIGH,known_dataset_bug,D
0318,free_multi,2,HIGH,notes_admit_incomplete,"8, 0.562"
0319,free_multi,4,HIGH,convention_sensitive,"False, True, True, False"
0320,free_multi,2,HIGH,notes_admit_incomplete,"approaches normal (limit 1), 3.73"
