id,subject,type,n_ans_slots,wolfram_status,wolfram_answer,confidence,batch,computable,notes,question_preview
0000,algebra,free_multi,2,DONE,"4, 16",HIGH,B9,YES,order-of-ops 2-slot; best=16 is undercount,Use the order of operations to simplify: a) $[13-(11-11)]-[8-(5-6)]=$ [ANS] b) $
0001,statistics,MCQ,0,DONE,Unchanged (A),MED,B19,YES,weighted mean invariant when all weights scaled by same factor; best=A consistent,"Assuming the weights corresponding to the sign values are reduced by 1/10, then "
0002,statistics,free_multi,3,DONE,"-1.461, 1.645, A",HIGH,B9,YES,z-prop-test 3-slot; z=-1.461 confirmed; best/teacher agree,"According to a recent marketing campaign, $120$ drinkers of either Diet Coke or "
0003,other,MCQ,0,UNVERIFIED,,,,MAYBE,,"It is known that there are two types of fish in the pond, in a ratio of 7:3. If "
0004,trigonometry,free_multi,3,DONE,"-7/sqrt(149), 10/sqrt(149), -7/10",HIGH,B9,YES,trig on terminal point; exact form; best(decimals)=teacher(exact) agree,"If the point (10,-7) is on the terminal side of the angle $\theta$ in standard p"
0005,statistics,free_multi,5,DONE,"541.3, 63.25, 135.325, 4.2167, 32.09",HIGH,B2,YES,ANOVA 5-tuple; under-count,An experiment is conducted to determine whether there is a differnce among the m
0006,other,free_single,1,UNVERIFIED,,,,MAYBE,,"A person is standing straight on the ground, looking up at an airplane which is "
0007,geometry,free_single,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B19,YES,snakes-on-circle merging competition; best=56; not Wolfram-computable,"The circumference of a circle is divided into $45$ arcs, each of length $1$. Ini"
0008,other,free_single,1,UNVERIFIED,,,,MAYBE,,What quantity of 70 per cent acid solution must be mixed with a 25 solution to p
0009,algebra,free_multi,2,DONE,"L-8x, 6F",HIGH,B1,YES,2-slot numerator/denominator split; format risk,Solve the equation for $y$: 8x+6 y F=L $\begin{array}{cccc}\hline &  y=& & [ANS]
0010,calculus,MCQ,0,DONE,2*pi*rho/(rho^2-a^2) form,MED,B13,YES,contour integral |dz|/|z-a|^2; standard result=2pi*rho/|rho^2-a^2|; teacher/best both=E (agree),What is the value of the integral $\int_{\mid z \mid=\rho} \frac{\mid\mathrm{d} 
0011,statistics,free_single,1,DONE,0.939,consensus-only,B8,YES,truncated problem text; verify against source,"Consider simple linear regression with $n$ pairs of numbers $x_i,y_i$. Let ${\ha"
0012,algebra,free_multi,2,DONE,"2c + 4p = 70, 11",HIGH,B2,YES,equation+value; string-match risk on equation form,"A barnyard is full of chickens and pigs, and the total number of chicken feet an"
0013,calculus,MCQ,0,DONE,(1/8)(2sec^6(4x)+3sec^4(4x)+6sec^2(4x)+12 ln|tan(4x)|)+C,MED,B19,YES,integral antiderivative computed (Wolfram); MCQ best=C; value verified,Solve the integral: $$ \int \frac{ 6 }{ \cos(-4 \cdot x)^7 \cdot \sin(4 \cdot x)
0014,algebra,free_single,1,DONE,ln(35)/ln(3),HIGH,B19,YES,7*3^t=245 -> 3^t=35 -> t=ln35/ln3; MATCH (best correct),Use logarithms to find an EXACT solution to the equation below. $7 \cdot 3^t=245
0015,algebra,free_multi,2,DONE,"8, NONE",HIGH,B16,YES,x^8+4 degree 8; 8^x+4 not poly NONE; best correct,"Are the functions below polynomials? If they are, enter their degree. If not, en"
0016,calculus,free_single,0,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,B9,YES,game theory on 1001-gon; not Wolfram-computable; teacher=501 vs best=858,Rose and Brunno play the game on a board shaped like a regular 1001-gon. Initial
0017,number_theory,MCQ,0,DONE,181,HIGH,B9,YES,"least odd prime of a(2015); mod181=0 confirmed; mod3,5,7,11,13,31 all nonzero","Let $a_0=1$, $a_1=2$, and $a_n=4a_{n-1}-a_{n-2}$ for $n\geq 2$. Find the least o"
0018,other,MCQ,0,UNVERIFIED,,,,MAYBE,,Dani has 45 marbles. She has 5 times as many marbles as Joe has. How many marble
0019,number_theory,MCQ,0,DONE,181,HIGH,B18,YES,j_155 least odd prime: mod181=0 (recurrence family 0017/0211/0606); best=D MCQ; value=181 [match if D maps to 181],"Consider the sequence defined by $j_0=1$, $j_1=2$, and $j_c=4j_{c-1}-j_{c-2}$ fo"
0020,statistics,free_multi,3,DONE,"228, 229, 250",HIGH,B9,YES,mean/median/mode; Wolfram confirmed; best=229 is 2-slot undercount,A sample of prices for eight television sets available at a local electronics st
0021,statistics,free_multi,2,DONE,"0.2915t+56.93, 67.43",HIGH,B15,YES,regression L(t)=0.2915t+56.93; est=67.43; best=67.43 undercount (missing equation),"The average life expectancy in the United States, $L$, has been rising steadily "
