item_id,item_type,predicted_kaggle_answer,confidence_pct,tier,runner_up_answer,runner_up_pct,num_submissions_agreeing,num_submissions_with_answer,teacher_consensus,teacher_agrees,investigation_flag,submission_answer_distribution_json
0,free,16,54.66,4,"4,16",34.09,5,12,"4,16",False,True,"{""16"": 5, ""4,16"": 2, ""PLACEHOLDER_0000"": 3, ""5"": 2}"
1,MCQ,A,99.0,1,INVALID,1.27,7,12,A,True,False,"{""A"": 7, ""PLACEHOLDER_0001"": 3, ""INVALID"": 2}"
2,free,"-1.461, 1.645, A",45.33,4,0,30.93,1,12,"-1.46, 1.645, A",False,True,"{""-1.461,1.645,A"": 1, ""A"": 5, ""-1.46,1.645,A"": 3, ""0"": 1, ""PLACEHOLDER_0002"": 2}"
3,MCQ,B,99.0,1,INVALID,1.27,7,12,B,True,False,"{""B"": 7, ""PLACEHOLDER_0003"": 3, ""INVALID"": 2}"
4,free,"-0.5735, 0.8192, -0.7000",33.41,5,"-\dfrac{7\sqrt{149}}{149},\dfrac{10\sqrt{149}}{149},-\dfrac{7}{10}",34.24,5,12,"-\frac{7}{\sqrt{149}},\frac{10}{\sqrt{149}},-\frac{7}{10}",False,True,"{""-0.5735,0.8192,-0.7"": 5, ""-\\dfrac{7\\sqrt{149}}{149},\\dfrac{10\\sqrt{149}}{149},-\\dfrac{7}{10}"": 1, ""-0.7"": 2, ""-\\frac{7}{\\sqrt{149}},\\frac{10}{\\sqrt{149}},-0.7"": 2, ""PLACEHOLDER_0004"": 2}"
5,free,32.09,52.57,4,"541.3,\63.25,\135.325,\4.2167,\32.09",31.15,4,12,,False,False,"{""32.09"": 4, ""541.3,63.25,135.3,4.217,32.09"": 3, ""541.3,\\63.25,\\135.325,\\4.2167,\\32.09"": 1, ""541.3,63.25,135.325,4.2167,32.09"": 2, ""PLACEHOLDER_0005"": 2}"
6,free,148.02,77.43,3,148.03,14.5,8,12,,False,False,"{""148.02"": 8, ""148.03"": 3, ""PLACEHOLDER_0006"": 1}"
7,free,56,95.51,1,328,2.11,2,8,,False,False,"{""56"": 2, ""37.3333"": 3, ""328"": 2, ""PLACEHOLDER_0007"": 1}"
8,free,420,84.12,2,420mL,15.33,8,12,,False,False,"{""420"": 8, ""420mL"": 2, ""PLACEHOLDER_0008"": 2}"
9,free,\dfrac{L - 8x}{6F},85.57,2,6,11.96,5,12,,False,False,"{""\\dfrac{L-8x}{6F}"": 5, ""-\\dfrac{4}{3}x,\\dfrac{L}{6}"": 3, ""6"": 1, ""\\frac{L-8x}{6F}"": 2, ""PLACEHOLDER_0009"": 1}"
10,MCQ,E,77.43,3,I,14.5,8,12,,False,False,"{""E"": 8, ""I"": 3, ""PLACEHOLDER_0010"": 1}"
11,free,answer,55.37,4,0.9391,37.42,1,12,,False,False,"{""0.9391"": 7, ""answer"": 1, ""0.939"": 2, ""PLACEHOLDER_0011"": 2}"
