# AUDIT-SCORE REFRAME: Audit score is for per-item bucket labels. Not a Kaggle-mirror. Local judger has known 28pp gap; restricted independent-gold subset is systematically easier.
# run_id: NT_targeted_rescue_nothinking_sc16_f61_t8k
# model: Qwen/Qwen3-4B-Thinking-2507
# method: vllm-sc-nothinking
# n_samples: 16
# max_new_tokens: 8192
# temperature: None
# n_items: 61
# date_run: 2026-05-30
# kaggle_score: None
# input_jsonl_path: inference/base_model/NT_targeted_rescue_nothinking_sc16_f61_t8k/targeted_rescue_nothinking_ADAPTED.jsonl
# is_self_consistency: True
item_id,category,tier,gold_answer,gold_source,gold_independent_flag,gold_uncertain_flag,extracted_answer,extracted_empty_flag,truncated_flag,format_correct,format_check_capability,math_correct,format_failure_subtype,bucket,bucket_b_review_needed,n_tokens_total,n_tokens_thinking,sc_vote_size,sc_total_samples,response_preview,notes
0,FREE,4,"4,16",unanimous_teachers,True,True,"4, 16",False,False,True,cosmetic_only_until_structural,True,,unknown,False,327,0,16,16,"To solve these problems using the order of operations (PEMDAS/BODMAS), let's go through each part carefully. --- ### **a)** Simplify: $$ [13 - (11 - 11)] - [8 - (5 - 6)] $$ **Step-by-step breakdown:**",
5,FREE,4,"541.3, 63.25, 135.325, 4.2167, 32.09",wolfram_HIGH,True,True,"541.3, 63.25, 135.325, 4.2168, 32.09",False,False,False,cosmetic_only_until_structural,False,,A_lucky_sample,False,1158,0,1,16,"To solve this problem, we need to compute several key components of an **Analysis of Variance (ANOVA)** for comparing means across five groups (strains A through E). Let's go step by step using the pr",
9,FREE,5,"L-8x, 6F",wolfram_HIGH,True,True,\frac{L - 8x}{6F},False,False,False,cosmetic_only_until_structural,False,,A_lucky_sample,False,215,0,8,16,"To solve the equation $ 8x + 6yF = L $ for $ y $, we need to isolate $ y $. Let's go through this step by step. --- ### Step 1: Write down the original equation $$ 8x + 6yF = L $$ This is a linear equ",
12,FREE,3,"2c + 4p = 70, 11",wolfram_HIGH,True,False,11,False,False,False,cosmetic_only_until_structural,False,,B,True,293,0,16,16,"We are given that the total number of chicken feet and pig feet is 70. **(a)** Chickens have 2 feet each, so $ c $ chickens contribute $ 2c $ feet. Pigs have 4 feet each, so $ p $ pigs contribute $ 4p",
25,FREE,5,"8/63, 6/63, 11/63, 17/63, 13/63, 8/63",search_GOLD,True,True,"0.127, 0.095, 0.175, 0.269, 0.206, 0.127",False,False,False,cosmetic_only_until_structural,False,,B,True,770,0,7,16,"To solve this problem, we'll first calculate the **total number of students** from the given frequency table. Then, using that total, we can compute both the **relative frequencies** and the **cumulat",
68,FREE,5,"-2.857, 6.986, -1.082, 3.707, -3.707, A, -12.647, 6.933",wolfram_HIGH,True,True,"-2.857, 6.96, -1.09, 3.707, -3.707, A, -12.61, 6.89",False,False,False,cosmetic_only_until_structural,False,,B,True,1361,0,1,16,"To solve this problem, we are analyzing **paired sample data** where each observation from group $ x $ is compared with an observation from group $ y $. We're testing whether the true mean difference",
72,FREE,5,"-0.8352, -0.9187, 0.3950, -2.3258, Quadrant IV",wolfram_HIGH,True,True,"-0.8351, -0.9211, 0.3950, -2.3323, IV",False,False,False,cosmetic_only_until_structural,False,,A_lucky_sample,False,885,0,1,16,"We are given that $\sin(A) = 0.55$ and $\cos(A) < 0$. This tells us that angle $A$ lies in **quadrant II**, since sine is positive and cosine is negative there. --- ### Step 1: Find $\cos(A)$ Using th",
77,FREE,5,"C,D,A",sheet_dependent,False,True,"D, D, A",False,False,False,cosmetic_only_until_structural,False,,unknown,False,421,0,13,16,"### (a) Analysis of Experimental Design Type This scenario describes an experiment where children watched two *different* types of movies at **two different times** (8 A.M. vs. 11 A.M.), with the goal",
82,FREE,0,"\text{No},1.309,1.677,\text{No}",sheet_dependent,False,False,"1.32,\ 1.677,\ No",False,False,False,cosmetic_only_until_structural,False,,unknown,False,1021,0,1,16,"To solve this problem, we are testing whether the average final average for PM sections is **greater** than that for AM sections. This is a **one-tailed hypothesis test** about two independent means.",
134,FREE,5,"1, 5, 12, 20, 26, 30, 31, 27.63",wolfram_HIGH,True,True,27.625,False,False,False,cosmetic_only_until_structural,False,,B,True,624,0,14,16,"To find the **median** of this grouped data, we follow these steps: --- ### Step 1: Understand the Data Table We are given a frequency distribution with class intervals and their corresponding frequen",
