item_id,category,search_status,found_answer,source_url,source_type,confidence,notes
7,FREE,PARTIAL,448 (HMMT source) vs 328 (teachers),https://hmmt-archive.s3.amazonaws.com/tournaments/2025/feb/comb/solutions.pdf,competition,32.26,"CONFLICT: HMMT 2025 Feb Comb #10 is this exact problem. Official solution says 448 (E₂=2(n²-1) for n=15 gives 448). Teachers say 328 (conf=32, n=11 — very low confidence). Recommend using 448."
33,MCQ,GOLD,28,https://faculty.sites.iastate.edu/jmccullo/files/inline-files/s08_5.pdf,Putnam,high,Putnam 1997 A-1
45,MCQ,GOLD,F,https://oeis.org/A005379,OEIS,47.1,"A005379 Hofstadter male-female. F(n)=n-M(F(n-1)), M(n)=n-F(M(n-1)). M(64..73)=[40,40,41,42,42,43,43,44,45,45]=option F."
91,MCQ,GOLD,J,https://oeis.org/A061909,OEIS,68.62,A061909 Skinny numbers (no carry when n² computed). a(1)=0 offset. a(44..53)=[1012..1102]=option J. Verified by computation.
97,FREE,GOLD,"x=0, y=4, r=4",https://homework.study.com/,HW.Study,high,
182,MCQ,GOLD,"P(A)=0.5177,P(B)=0.4914",https://mathworld.wolfram.com/deMeresProblem.html,MathWorld,high,
184,MCQ,GOLD,A,https://oeis.org/A048720,OEIS,90,"A048720 carryless GF(2) binary mult table read by antidiagonals. idx 81-90 = [27,32,27,20,27,32,27,20,11,0] = option A."
200,MCQ,GOLD,463,https://artofproblemsolving.com/wiki/index.php/1999_AIME_Problems/Problem_14,AoPS,85.4,1999 AIME I Problem 14. Brocard point. m+n=463 confirmed on AoPS and Cheenta.
204,MCQ,GOLD,E,https://kskedlaya.org/putnam-archive/2023.pdf,competition,95,Putnam 2023 B2: min number of 1-bits in binary of 2023n = 3 = option E.
222,MCQ,GOLD,C,https://kskedlaya.org/putnam-archive/2010.pdf,competition,95,Putnam 2010 B3: least n = 1005 (need 2010n > 2009*2010/2). Option C.
223,MCQ,GOLD,A,https://oeis.org/A006769,OEIS,87.33,"OEIS A006769: EDS for 37a1 y^2+y=x^3-x at (0,0). n=23..32: [-620297,2382785,7869898,7001471,-126742987,-398035821,1687054711,-7911171596,-47301104551,43244638645]. Exact match with option A."
263,MCQ,GOLD,-63/16,https://www.gauthmath.com/solution/1800308107100166/,Gauthmath,high,
440,MCQ,GOLD,5/2,https://mast.queensu.ca/~mikeroth/putnam/handouts/week01.pdf,Putnam 1990,high,
474,MCQ,GOLD,248,https://math.stackexchange.com/questions/1991252,MSE,high,
570,MCQ,GOLD,H,https://oeis.org/A130198,OEIS,90,"A130198 single paradiddle, period-8 [0,1,0,0,1,0,1,1]. x=86-95 = [1,1,0,1,0,0,1,0,1,1] = option H."
