item_id,category,question_preview,sheet_best_answer,sheet_confidence,sheet_tier,sheet_n_agree,sheet_evidence,teacher_sonnet,teacher_gpt4,teacher_oss,wolfram_answer,wolfram_confidence,search_status,search_answer,search_source,backsolve_answer,backsolve_confidence,backsolve_tier
0,FREE,Use the order of operations to simplify: a) $[13-(11-11)]-[8-(5-6)]=$ [ANS] b) $4 \cdot 3-2+2 \cdot 3=$ [ANS],"4,16",71.01,4,13,sub+teacher,"4,16","4,16","4,16",,,,,,16,54.66,4
1,MCQ,Assuming the weights corresponding to the sign values are reduced by 1/10; then the arithmetic mean is ().,A,85.4,2,21,backsolve+sub+teacher,A,A,A,,,,,,A,99.0,1
2,FREE,According to a recent marketing campaign; $120$ drinkers of either Diet Coke or Diet Pepsi participated in a blind taste,"-1.46,1.645,A",50.49,5,7,sub+teacher,"-1.46, 1.645, A","-1.46,1.645,A","-1.46,1.645,A",,,,,,"-1.461, 1.645, A",45.33,4
3,MCQ,It is known that there are two types of fish in the pond; in a ratio of 7:3. If one fish is randomly caught and its type,B,93.67,2,22,backsolve+sub+teacher,B,B,B,,,,,,B,99.0,1
4,FREE,If the point (10;-7) is on the terminal side of the angle $\theta$ in standard position; $\sin (\theta)=$ [ANS] ; $\cos ,"-0.5735,0.8192,-0.7000",41.42,5,15,backsolve+sub+teacher,"-\frac{7\sqrt{149}}{149},\,\frac{10\sqrt{149}}{149},\,-\frac{7}{10}","-\frac{7}{\sqrt{149}},\frac{10}{\sqrt{149}},-\frac{7}{10}","-\frac{7}{\sqrt{149}},\frac{10}{\sqrt{149}},-\frac{7}{10}",,,,,,"-0.5735, 0.8192, -0.7000",33.41,5
5,FREE,An experiment is conducted to determine whether there is a differnce among the mean increases in growth produced by five,"541.3,63.25,135.325,4.2167,32.09",64.12,4,12,sub+teacher+wolfram,"541.30,\ 63.25,\ 135.325,\ 4.2167,\ 32.09","541.3,63.25,135.325,4.2167,32.09","541.30,63.25,135.325,4.2167,32.09","541.3, 63.25, 135.325, 4.2167, 32.09",HIGH,,,,32.09,52.57,4
6,FREE,A person is standing straight on the ground; looking up at an airplane which is taking off. His eyes is ${5.5\ {\rm ft}},148.02,73.09,4,21,backsolve+sub+teacher,148.02,148.03,148.02,,,GOLD,148.02,computed,148.02,77.43,3
7,FREE,The circumference of a circle is divided into $45$ arcs; each of length $1$. Initially; there are $15$ snakes; each of l,56,32.26,5,11,backsolve+sub+teacher,328,\frac{112}{3},990,,,,,,56,95.51,1
8,FREE,What quantity of 70 per cent acid solution must be mixed with a 25 solution to produce 756 mL of a 50 per cent solution?,420,71.94,4,21,backsolve+sub+teacher,420,420 mL,420 mL,,,GOLD,420,computed,420,84.12,2
9,FREE,Solve the equation for $y$: 8x+6 y F=L $\begin{array}{cccc}\hline &  y=& & [ANS] [ANS] \\ \hline \end{array}$,\frac{L - 8x}{6F},35.89,5,13,backsolve+sub+teacher+wolfram,"-\frac{4}{3}x,\frac{L}{6}",\frac{L-8x}{6F},"L-8x,6","L-8x, 6F",HIGH,NOT_FOUND,,,\dfrac{L - 8x}{6F},85.57,2
