id,bucket,top_similarity,top_opl_path,top_ans_count,top_status,opl_first_answer,current_submission_answer,agree
0,PARAM,0.8423,OpenProblemLibrary/CollegeOfIdaho/setAlgebra_01_03_GraphingEquations/13IntAlg_20_Operations_Review.pg,2,PARAMETERIZED,$ans_a->cmp,"Okay, let's tackle these two problems one by one. I need to remember the order of operations, which ",NO
1,PARAM,0.6877,Contrib/UBC/STAT/Archive_old_questions/STAT203_2016W1/HW03/hw03-q4.pg,2,PARAMETERIZED,num_cmp( $ans1 ),"We have a weighted arithmetic mean. Let the sign values be $x_i$ with corresponding weights $w_i$.

",NO
2,PARAM,0.9628,OpenProblemLibrary/ASU-topics/setStat/kolossa54.pg,3,PARAMETERIZED,"num_cmp($test, tolType=>'absolute', tol=>0.01)","Okay, let's tackle this problem step by step. First, I need to recall how to set up a hypothesis tes",NO
3,PARAM,0.7634,OpenProblemLibrary/UBC/STAT/STAT344/hw02/hw02_q03.pg,2,PARAMETERIZED,"num_cmp($q1[0], tol=> 0.105)","I need to find the probability of making an error when guessing the type of a randomly caught fish.
",NO
4,PARAM,0.8353,OpenProblemLibrary/NAU/setTrigOtherFunctions/Trig7_3_1.pg,3,PARAMETERIZED,std_num_cmp($ans1),"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
5,PARAM,0.9642,OpenProblemLibrary/ASU-topics/setStat/dueck13_2_3.pg,5,PARAMETERIZED,num_cmp($sst),"Okay, let's tackle this problem step by step. First, I need to remember what SSTR, SSE, MSTR, MSE, a",NO
6,PARAM,0.7411,Contrib/AlfredUniv/AUCI/chapter7/lesson1/relatedrates3pet.pg,1,PARAMETERIZED,"num_cmp($ans, strings=>[""I"", ""-I"", ""DNE""])","Okay, let's try to figure out this problem step by step. So, the person is standing on the ground, l",NO
7,PARAM,0.7059,Contrib/GRPS/circle3.pg,2,PARAMETERIZED,num_cmp( ($a1+$b1)/2),"This is a complex or challenging question, and it is difficult to provide a direct and correct answe",NO
8,PARAM,0.7854,OpenProblemLibrary/NAU/setLinearModeling/easylinearmodeling4.pg,1,PARAMETERIZED,num_cmp($ans),"Okay, let's try to figure out this problem step by step. First, let me make sure I understand the qu",NO
9,PARAM,0.8350,Contrib/Mizzou/College_Algebra/Equations_Linear/Variables2.pg,1,PARAMETERIZED,$multians->cmp(studentsMustReduceFractions=>1),"Okay, let's see. I need to solve the equation 8x + 6yF = L for y. Wait, the problem says ""Solve the ",NO
10,PARAM,0.7567,OpenProblemLibrary/UCSB/Stewart5_7_3/Stewart5_7_3_15.pg,1,PARAMETERIZED,"fun_cmp(""$a*x/sqrt(a^2-x^2)-($a)*asin(x/a)+C+c"", var=>[""a"",""x"",""C""], params=>[""c""], limits=>[[1,2],[","We need to compute $\int_{|z|=\rho} \frac{|dz|}{|z-a|^2}$ where $a\neq 0$, $|a|\neq \rho$, $\rho>0$.",NO
11,PARAM,0.9660,OpenProblemLibrary/UBC/STAT/STAT306_2017/2hwk/residSD.pg,1,PARAMETERIZED,"num_cmp($ansa, tol=> 0.015, tolType=>""absolute"")","Okay, let's try to figure out how to solve this problem step by step. First, the question is about f",NO
12,PARAM,0.9567,OpenProblemLibrary/FortLewis/Algebra/5-5-Linear-modeling/chickens-and-pigs.pg,2,PARAMETERIZED,$answera->cmp(),"Okay, let's tackle part (a) first. So, the problem is about chickens and pigs in a barnyard, and we ",NO
