item_id,best_answer,raw_confidence,adjusted_confidence,tier,runner_up,runner_up_conf,n_supporting,n_with_answer,teacher_consensus,teacher_agrees,teacher_agreement
0,16,0.9616,0.8616,2,5,0.0229,6,16,"4,16",False,1.0
1,A,0.8465,0.8965,2,Unchanged,0.1442,9,15,A,True,1.0
2,"-1.461, 1.645, A",0.5196,0.4196,4,"-1.460, 1.645, A",0.2566,2,16,"-1.46, 1.645, A",False,1.0
3,B,0.9869,0.99,1,INVALID,0.0125,10,15,B,True,1.0
4,"-0.5735, 0.8192, -0.7000",0.4648,0.4648,4,"-\frac{7\sqrt{149}}{149}, \frac{10\sqrt{149}}{149}, -\frac{7}{10}",0.2334,6,16,"-\frac{7}{\sqrt{149}},\frac{10}{\sqrt{149}},-\frac{7}{10}",False,0.67
5,32.09,0.3236,0.3236,5,"541.30, 63.25, 135.3, 4.217, 32.09",0.266,4,15,"541.30,\ 63.25,\ 135.325,\ 4.2167,\ 32.09",False,0.67
6,147.92,0.6631,0.6631,3,148.02,0.2721,1,15,148.02,False,0.67
7,56,0.7678,0.7678,3,D,0.1961,2,9,328,False,0.33
8,420,0.8425,0.8425,2,420 mL,0.1521,11,15,420 mL,False,0.67
9,\frac{L - 8x}{6F},0.5556,0.5556,4,\frac{L - 8x} $$,0.2126,6,15,"-\frac{4}{3}x,\frac{L}{6}",False,0.33
10,E,0.8256,0.8756,2,I,0.1042,10,15,E,True,0.67
11,answer,0.3615,0.3615,5,0.9391,0.2991,1,15,0.9391,False,0.33
12,"3, 7, 11",0.4516,0.3516,5,"2c + 4p = 70, 11",0.4069,1,15,"2c+4p=70,\ 11",False,1.0
13,C,0.8465,0.8965,2,I,0.1442,9,15,C,True,1.0
14,\frac{\ln 35}{\ln 3},0.9708,0.9708,1,\displaystyle \frac{\ln 35}{\ln 3},0.0146,8,15,\frac{\ln(35)}{\ln(3)},False,0.33
15,"8, NONE",0.8756,0.9256,1,"NONE, 8",0.071,7,15,"8,NONE",True,1.0
16,858,0.4178,0.3178,5,B,0.3378,1,9,501,False,1.0
17,E,0.6607,0.6607,3,C,0.2212,1,9,C,False,0.67
18,INVALID,0.3784,0.2784,5,I,0.3131,1,16,H,False,1.0
19,D,0.4178,0.4678,4,C,0.3378,1,9,D,True,0.33
20,"228.0, 229.0, 250.0",0.4648,0.3648,5,229,0.2334,6,16,"228, 229, 250",False,1.0
21,"0.2915t + 56.93, 67.43",0.4748,0.4748,4,67.43,0.3635,2,12,"L(t) = 0.2915t + 56.9333, = 67.43",False,0.33
22,I,0.6631,0.6631,3,G,0.2721,1,15,G,False,0.67
23,H,0.8465,0.8965,2,J,0.1442,9,15,H,True,1.0
24,2,0.994,0.894,2,PLACEHOLDER_0024,0.0045,1,16,1,False,1.0
25,"8, 14, 25, 42, 55, 63",0.7571,0.7571,3,"0.1270, 0.0952, 0.1746, 0.2698, 0.2063, 0.1270, 8, 14, 25, 42, 55, 63",0.0755,6,15,"\frac{8}{63},\frac{2}{21},\frac{11}{63},\frac{17}{63},\frac{13}{63},\frac{8}{63},8,14,25,42,55,63",False,0.67
26,C,0.6631,0.6631,3,I,0.2721,1,15,I,False,0.67
27,"\frac{7}{6}, \frac{11}{6}",0.3257,0.3257,5,"\frac{1, \frac{7} $$",0.2803,1,15,"1/3, 2/3, 7/6, 11/6",False,0.67
28,"2, 70.00, 1, 768.0, 2, 140.0",0.2869,0.1869,5,"2, 140.00",0.2049,5,16,"2,70,1,768,2,140",False,1.0
29,39,0.5454,0.4454,4,38.2,0.4512,1,16,38.2\%,False,1.0
30,"2944, 664",0.6228,0.6728,3,"2944, 665",0.2158,6,15,"2944, 664",True,1.0
31,"-3, 42",0.8756,0.9256,1,"42, -3",0.071,7,15,"-3,42",True,1.0
32,"10.05, -1.000, -3.500",0.5878,0.4878,4,"-3.500, -1.000, 10.05",0.2255,6,15,"\sqrt{101},\ -1,\ -\frac{7}{2}",False,1.0
33,G,0.6631,0.6631,3,F,0.2721,1,15,F,False,0.67
34,J,0.8465,0.8965,2,"The data is right-skewed, 20 is an outlier.",0.1442,9,15,J,True,1.0
35,"\text{down}, \ln p",0.2788,0.2788,5,", \text{down} $$",0.2753,1,15,"downward, \ln p",False,0.67
36,40x^{10}y^9,0.776,0.776,3,40x^{10}y^{9},0.1439,11,15,40x^{10}y^{9},False,0.67
37,"Tommy, Chucky, 7",0.659,0.559,4,"Tommy, Chucky, February 27",0.1189,3,14,"Tommy, Chucky, February 7",False,1.0
38,B,0.8465,0.8965,2,G,0.1442,9,15,B,True,1.0
39,475,0.9869,0.99,1,476,0.0125,10,15,475,True,1.0
40,800 - 50d,0.5277,0.5277,4,INVALID,0.4695,8,16,D = 800 - 50d,False,0.67
41,G,0.7262,0.7262,3,4048,0.2028,1,9,4048,False,0.67
42,"No, Yes, A",0.8756,0.9256,1,"A, Yes, No",0.071,7,15,"No, Yes, A",True,1.0
43,"0.3750, 14, 28",0.5878,0.5878,4,"28, 14, 0.3750",0.2255,6,15,"\frac{3}{8},\ 14,\ 28",False,0.67
44,"True, True, True, False",0.6468,0.6968,3,"1, 1, 1, 0",0.1348,6,15,"True, True, True, False",True,1.0
45,A,0.3615,0.4115,4,J,0.2991,1,15,A,True,0.67
46,"1.645, 1.719, 1.960, -1.960, 1.719, B, A",0.7507,0.7507,3,"B, A",0.0953,4,15,"1.645, 1.72, 1.96, -1.96, 1.72, B, A",False,0.33
47,F,0.8465,0.8965,2,G,0.1442,9,15,F,True,1.0
48,C,0.9869,0.99,1,INVALID,0.0125,10,15,C,True,1.0
49,0.01433,0.2892,0.2892,5,0.014,0.2879,2,15,0.0143,False,0.67
50,"140A + 150B = 5930, 3A + 4B = 142",0.5878,0.5878,4,"3A + 4B = 142, 140A + 150B = 5930",0.2255,6,15,"140A+150B=5930,\ 3A+4B=142",False,0.67
51,25352_8,0.3615,0.3615,5,25452,0.2991,1,15,25452_8,False,0.33
52,"231, 385",0.8756,0.9256,1,"385, 231",0.071,7,15,"231,385",True,1.0
53,F,0.8465,0.8965,2,1.65,0.1442,9,15,F,True,1.0
54,C,0.7262,0.7262,3,1,0.2028,1,9,1,False,0.67
55,5x^4,0.7618,0.7618,3,y=5x^4,0.1945,2,15,y = 5x^4,False,0.33
56,"D, D, A",0.8756,0.9256,1,"A, D, D",0.071,7,15,"D,D,A",True,1.0
57,5,0.994,0.894,2,PLACEHOLDER_0057,0.0045,1,16,4,False,1.0
58,0,0.7678,0.7678,3,A,0.1961,2,9,31,False,0.67
59,49,0.9869,0.99,1,50,0.0125,10,15,49,True,1.0
60,"C, A",0.8756,0.9256,1,"A, C",0.071,7,15,"C,A",True,1.0
61,"0.7600c, 0, 150, 0.6900c + 10.50, 150",0.6854,0.6854,3,"0.76c, 0, 150, 0.69c + 10.50, 150",0.1202,4,15,"0.76c,0,150,0.69c+10.5,150",False,0.67
62,"-15, 192, 0",0.8756,0.9256,1,"0, 192, -15",0.071,7,15,"-15,192,0",True,1.0
63,"15.84, 18.96",0.8251,0.8251,2,"15.14, 18.46",0.0596,5,15,"18.96, 15.84",False,0.67
64,850 - 350 \cos\left(\frac{\pi}{6} t\right),0.3994,0.3994,5,850 - 350 \cos\left(\frac{\pi t}{6}\right),0.2408,2,15,P(t) = 850 - 350\cos\!(\frac{\pi}{6}t),False,0.33
65,"-\frac{6, \frac{2} $$",0.7323,0.6323,3,"\frac{2}{7}, -\frac{6}{7}",0.1937,1,16,"-\frac{6}{7},\frac{2}{7}",False,1.0
66,2268.6,0.6675,0.6675,3,2354,0.2672,1,13,2354,False,0.33
67,"7.6 \cdot (1.09)^t, 13.89, 5.382",0.2316,0.2316,5,"7.6(1.09)^t, 13.89, 5.384",0.1691,2,15,"7.6(1.09)^t,\ 13.89,\ 5.38",False,0.33
68,5.442,0.252,0.252,5,5.443,0.2096,3,14,"-2.857,\ 6.986,\ -1.082,\ 3.707,\ -3.707,\ A,\ -12.646,\ 6.932",False,0.33
69,G,0.776,0.826,2,\text{None of the listed options; } \int_0^\pi f(x) dx=\frac{\pi^2-2\pi}{2},0.1439,11,15,G,True,0.67
70,\frac{5}{56},0.5667,0.6167,3,557,0.4164,11,16,\frac{5}{56},True,1.0
71,"1.160, 18.00",0.4541,0.4541,4,"29/25, 18",0.228,6,15,"29/25,18",False,0.67
